
Call:
model.avg(object = stse_consensus@objects)

Component model call: 
glm(formula = paste(f, ""), family = binomial, data = data)

Component models: 
            df logLik  AICc delta weight
5/6/12/26    5 -20.06 52.27 35.63   0.00
8/13/16/19   5 -20.06 52.27 35.63   0.00
7/12/26/30   5 -20.06 52.27 35.63   0.00
10/21/26/27  6 -18.58 52.27 35.63   0.00
7/21         3 -22.74 52.27 35.63   0.00
19/21        3 -22.74 52.27 35.63   0.00
4/6/13/26    5 -20.07 52.27 35.63   0.00
2/4/20/26    5 -20.07 52.27 35.63   0.00
4/13/20/26   5 -20.07 52.28 35.63   0.00
10/16/21/26  6 -18.58 52.28 35.64   0.00
4/14/20/26   5 -20.07 52.28 35.64   0.00
18/25/26/30  5 -20.07 52.28 35.64   0.00
4/12/20/26   5 -20.07 52.28 35.64   0.00
4/5/19/26    5 -20.07 52.28 35.64   0.00
4/5/16/26    5 -20.07 52.28 35.64   0.00
2/4/6/26     5 -20.07 52.28 35.64   0.00
4/20/22/26   5 -20.07 52.28 35.64   0.00
3/7/8/30     5 -20.07 52.28 35.64   0.00
3/4/20/26    5 -20.07 52.28 35.64   0.00
4/20/25/26   5 -20.07 52.28 35.64   0.00
4/6/12/26    5 -20.07 52.28 35.64   0.00
10/19/26/30  6 -18.59 52.28 35.64   0.00
16/25/26/30  5 -20.07 52.28 35.64   0.00
5/8/12/14    5 -20.07 52.28 35.64   0.00
4/14/16/26   5 -20.07 52.29 35.64   0.00
22/25/26/30  5 -20.07 52.29 35.64   0.00
3/8/13/19    5 -20.07 52.29 35.64   0.00
2/6/8/10     6 -18.59 52.29 35.64   0.00
2/4/5/26     5 -20.07 52.29 35.65   0.00
3/5/6/26     5 -20.07 52.29 35.65   0.00
8/13/19/20   5 -20.07 52.29 35.65   0.00
10/12/26/30  6 -18.59 52.29 35.65   0.00
2/8/9/16     5 -20.08 52.29 35.65   0.00
8/19/26/29   6 -18.59 52.29 35.65   0.00
8/9/12/22    5 -20.08 52.29 35.65   0.00
8/20/28/30   7 -16.99 52.30 35.66   0.00
15/27        3 -22.75 52.30 35.66   0.00
4/5/14/26    5 -20.08 52.30 35.66   0.00
20/27        3 -22.75 52.30 35.66   0.00
4/8/18/29    6 -18.60 52.30 35.66   0.00
8/13/14/19   5 -20.08 52.30 35.66   0.00
3/8/21/22    5 -20.08 52.30 35.66   0.00
8/12/16/18   5 -20.08 52.30 35.66   0.00
4/5/22/26    5 -20.08 52.30 35.66   0.00
4/16/25/26   5 -20.08 52.31 35.66   0.00
2/8/9/22     5 -20.08 52.31 35.66   0.00
8/12/14/25   5 -20.08 52.31 35.67   0.00
8/9/16/19    5 -20.08 52.31 35.67   0.00
8/10/22      5 -20.08 52.31 35.67   0.00
5/11/21/26   6 -18.60 52.31 35.67   0.00
15/24/26/30  5 -20.08 52.31 35.67   0.00
7/13/26/30   5 -20.09 52.31 35.67   0.00
7/8/13/20    5 -20.09 52.31 35.67   0.00
2/8/9/18     5 -20.09 52.31 35.67   0.00
5/8/19/25    5 -20.09 52.32 35.67   0.00
3/6          3 -22.76 52.32 35.67   0.00
12/30        3 -22.76 52.32 35.67   0.00
2/3/8/9      5 -20.09 52.32 35.68   0.00
24/27        3 -22.76 52.32 35.68   0.00
9/20/26/30   5 -20.09 52.32 35.68   0.00
10/22/26/30  6 -18.60 52.32 35.68   0.00
4/16/19/26   5 -20.09 52.32 35.68   0.00
4/13         3 -22.76 52.32 35.68   0.00
4/7/14/26    5 -20.09 52.32 35.68   0.00
3/4/16/26    5 -20.09 52.32 35.68   0.00
6/8/10/24    6 -18.61 52.33 35.68   0.00
15/20/26/30  5 -20.09 52.33 35.68   0.00
10/21/22/26  6 -18.61 52.33 35.69   0.00
4/5/25/26    5 -20.09 52.33 35.69   0.00
6/21/27      4 -21.47 52.33 35.69   0.00
4/7/19/26    5 -20.09 52.33 35.69   0.00
4/5/12/26    5 -20.09 52.33 35.69   0.00
8/12/15/18   5 -20.09 52.33 35.69   0.00
4/5/13/26    5 -20.09 52.33 35.69   0.00
25/27        3 -22.77 52.33 35.69   0.00
4/16/22/26   5 -20.09 52.33 35.69   0.00
4/12/16/26   5 -20.10 52.33 35.69   0.00
7/9/26/30    5 -20.10 52.34 35.69   0.00
6/10/21/26   6 -18.61 52.34 35.69   0.00
4/14/19/26   5 -20.10 52.34 35.70   0.00
10/16/26/30  6 -18.61 52.34 35.70   0.00
2/4/16/26    5 -20.10 52.34 35.70   0.00
8/12/21/23   6 -18.61 52.34 35.70   0.00
14/27        3 -22.77 52.34 35.70   0.00
4/13/16/26   5 -20.10 52.34 35.70   0.00
5/6          3 -22.77 52.34 35.70   0.00
8/12/18/24   5 -20.10 52.34 35.70   0.00
7/8/9/14     5 -20.10 52.35 35.70   0.00
16/27        3 -22.77 52.35 35.71   0.00
8/10/25      5 -20.10 52.35 35.71   0.00
7/10/21/26   6 -18.62 52.35 35.71   0.00
3/27         3 -22.78 52.35 35.71   0.00
6/9          3 -22.78 52.36 35.71   0.00
12/13        3 -22.78 52.36 35.71   0.00
2/4/7/26     5 -20.11 52.36 35.72   0.00
7/8/12/13    5 -20.11 52.36 35.72   0.00
4/7/25/26    5 -20.11 52.36 35.72   0.00
13/16/26/30  5 -20.11 52.36 35.72   0.00
4/7/13/26    5 -20.11 52.36 35.72   0.00
3/4/7/26     5 -20.11 52.36 35.72   0.00
4/7/22/26    5 -20.11 52.36 35.72   0.00
4/7/12/26    5 -20.11 52.36 35.72   0.00
13/15/26/30  5 -20.11 52.36 35.72   0.00
6/9/19/26    5 -20.11 52.36 35.72   0.00
18/24/26/30  5 -20.11 52.36 35.72   0.00
8/10/18      5 -20.11 52.36 35.72   0.00
8/21/22/24   5 -20.11 52.36 35.72   0.00
2/8/14/24    5 -20.11 52.37 35.72   0.00
8/9/19/22    5 -20.11 52.37 35.72   0.00
10/14/26/30  6 -18.63 52.37 35.73   0.00
10/18/26/30  6 -18.63 52.37 35.73   0.00
13/14/26/30  5 -20.11 52.37 35.73   0.00
3/8/9/19     5 -20.11 52.37 35.73   0.00
8/16/21/22   5 -20.11 52.37 35.73   0.00
8/15/21/22   5 -20.12 52.37 35.73   0.00
7/10/26/30   6 -18.63 52.37 35.73   0.00
2/8/22/24    5 -20.12 52.37 35.73   0.00
8/12/14/22   5 -20.12 52.38 35.73   0.00
19/24/26/30  5 -20.12 52.38 35.73   0.00
10/26/27/30  6 -18.63 52.38 35.74   0.00
6/12/27      4 -21.50 52.38 35.74   0.00
9/12/26/30   5 -20.12 52.38 35.74   0.00
19/27        3 -22.79 52.38 35.74   0.00
8/9/12/25    5 -20.12 52.38 35.74   0.00
9/24/26/30   5 -20.12 52.38 35.74   0.00
8/10/12/20   6 -18.64 52.38 35.74   0.00
12/19/26/30  5 -20.12 52.38 35.74   0.00
5/8/12/25    5 -20.12 52.38 35.74   0.00
2/4          3 -22.79 52.38 35.74   0.00
3/10/26/30   6 -18.64 52.38 35.74   0.00
2/4/14/26    5 -20.12 52.38 35.74   0.00
11/12/26     5 -20.12 52.39 35.74   0.00
10/12/21/26  6 -18.64 52.39 35.74   0.00
6/14         3 -22.79 52.39 35.75   0.00
7/27         3 -22.79 52.39 35.75   0.00
4/14/25/26   5 -20.12 52.39 35.75   0.00
8/9/14/19    5 -20.12 52.39 35.75   0.00
4/13/14/26   5 -20.12 52.39 35.75   0.00
4/14/22/26   5 -20.12 52.39 35.75   0.00
5/27         3 -22.80 52.39 35.75   0.00
4/12/14/26   5 -20.12 52.39 35.75   0.00
4/12/19/26   5 -20.12 52.39 35.75   0.00
3/4/14/26    5 -20.12 52.39 35.75   0.00
3/5/14/26    5 -20.12 52.39 35.75   0.00
8/14/21/22   5 -20.13 52.39 35.75   0.00
5/6/7/26     5 -20.13 52.39 35.75   0.00
3/4/19/26    5 -20.13 52.40 35.75   0.00
8/9/12/13    5 -20.13 52.40 35.75   0.00
13/19/26/30  5 -20.13 52.40 35.75   0.00
7/20/26/30   5 -20.13 52.40 35.76   0.00
22/24/26/30  5 -20.13 52.40 35.76   0.00
2/8/15/24    5 -20.13 52.40 35.76   0.00
2/24/26/30   5 -20.13 52.40 35.76   0.00
12/15/26/30  5 -20.13 52.40 35.76   0.00
2/3/8/24     5 -20.13 52.40 35.76   0.00
3/5/12/26    5 -20.13 52.40 35.76   0.00
16/24/26/30  5 -20.13 52.41 35.76   0.00
11/16/21/26  6 -18.65 52.41 35.77   0.00
4/19/22/26   5 -20.13 52.41 35.77   0.00
5/8/15/27    5 -20.13 52.41 35.77   0.00
2/4/19/26    5 -20.13 52.41 35.77   0.00
3/8/21/24    5 -20.13 52.41 35.77   0.00
26/29/30     5 -20.13 52.41 35.77   0.00
2/8/18/24    5 -20.13 52.41 35.77   0.00
5/6/8/29     6 -18.65 52.41 35.77   0.00
6/18         3 -22.81 52.41 35.77   0.00
8/16/26/29   6 -18.65 52.41 35.77   0.00
4/19/25/26   5 -20.14 52.41 35.77   0.00
2/8/16/24    5 -20.14 52.41 35.77   0.00
4/13/19/26   5 -20.14 52.41 35.77   0.00
8/9/19/20    5 -20.14 52.42 35.77   0.00
8/9/18/19    5 -20.14 52.42 35.78   0.00
3/5/7/26     5 -20.14 52.42 35.78   0.00
13/22/26/30  5 -20.14 52.42 35.78   0.00
2/8/14/15    5 -20.14 52.42 35.78   0.00
8/11/19/26   6 -18.65 52.42 35.78   0.00
5/8/18/30    5 -20.14 52.42 35.78   0.00
8/12/13/25   5 -20.14 52.43 35.78   0.00
13/18/26/30  5 -20.14 52.43 35.78   0.00
10/19/21/26  6 -18.66 52.43 35.79   0.00
11/19/21/26  6 -18.66 52.43 35.79   0.00
8/12/14/15   5 -20.14 52.43 35.79   0.00
11/24/26     5 -20.14 52.43 35.79   0.00
5/8/22/30    5 -20.14 52.43 35.79   0.00
10/14/21/26  6 -18.66 52.43 35.79   0.00
20/22/26/30  5 -20.14 52.43 35.79   0.00
2/13/26/30   5 -20.14 52.43 35.79   0.00
5/8/18/19    5 -20.14 52.43 35.79   0.00
2/3/5/26     5 -20.15 52.43 35.79   0.00
6/7          3 -22.82 52.44 35.80   0.00
6/25         3 -22.82 52.44 35.80   0.00
2/4/12/26    5 -20.15 52.44 35.80   0.00
4/9          3 -22.82 52.44 35.80   0.00
3/4/12/26    5 -20.15 52.44 35.80   0.00
5/7/8/9      5 -20.15 52.44 35.80   0.00
6/7/9/26     5 -20.15 52.44 35.80   0.00
4/22/25/26   5 -20.15 52.44 35.80   0.00
4/10/15/26   6 -18.66 52.44 35.80   0.00
2/3/4/26     5 -20.15 52.44 35.80   0.00
3/4/13/26    5 -20.15 52.44 35.80   0.00
3/4/25/26    5 -20.15 52.44 35.80   0.00
4/12/25/26   5 -20.15 52.44 35.80   0.00
2/4/25/26    5 -20.15 52.44 35.80   0.00
19/20/26/30  5 -20.15 52.44 35.80   0.00
3/4/22/26    5 -20.15 52.44 35.80   0.00
11/15/26     5 -20.15 52.44 35.80   0.00
2/4/22/26    5 -20.15 52.44 35.80   0.00
4/12/22/26   5 -20.15 52.44 35.80   0.00
2/4/13/26    5 -20.15 52.44 35.80   0.00
3/8/14/21    5 -20.15 52.44 35.80   0.00
4/12/13/26   5 -20.15 52.44 35.80   0.00
5/8/12/13    5 -20.15 52.44 35.80   0.00
4/13/22/26   5 -20.15 52.44 35.80   0.00
2/8/14/18    5 -20.15 52.44 35.80   0.00
4/13/25/26   5 -20.15 52.44 35.80   0.00
8/14/21/24   5 -20.15 52.44 35.80   0.00
8/15/21/24   5 -20.15 52.45 35.80   0.00
12/18/26/30  5 -20.15 52.45 35.81   0.00
2/3/8/14     5 -20.15 52.45 35.81   0.00
6/13/21      4 -21.53 52.45 35.81   0.00
8/16/21/24   5 -20.15 52.45 35.81   0.00
9/14/26/30   5 -20.15 52.45 35.81   0.00
2/8/14/16    5 -20.15 52.45 35.81   0.00
6/11/26      5 -20.16 52.45 35.81   0.00
7/8/22/30    5 -20.16 52.45 35.81   0.00
6/16         3 -22.83 52.45 35.81   0.00
2/8/14/22    5 -20.16 52.45 35.81   0.00
8/21/28/30   7 -17.07 52.46 35.81   0.00
3/8/16/21    5 -20.16 52.46 35.82   0.00
4/9/10/26    6 -18.67 52.46 35.82   0.00
6/9/12/26    5 -20.16 52.46 35.82   0.00
3/8/18/30    5 -20.16 52.46 35.82   0.00
12/18        3 -22.83 52.46 35.82   0.00
3/5/13/26    5 -20.16 52.46 35.82   0.00
3/8/15/21    5 -20.16 52.46 35.82   0.00
2/8/15/22    5 -20.16 52.46 35.82   0.00
3/8/9/12     5 -20.16 52.46 35.82   0.00
2/5/6/26     5 -20.16 52.46 35.82   0.00
6/24         3 -22.83 52.46 35.82   0.00
8/9/12/15    5 -20.16 52.47 35.82   0.00
10/18/21/26  6 -18.68 52.47 35.83   0.00
2/10/21/26   6 -18.68 52.47 35.83   0.00
10/21/25/26  6 -18.68 52.47 35.83   0.00
6/15         3 -22.83 52.47 35.83   0.00
6/22         3 -22.83 52.47 35.83   0.00
8/9/12/24    5 -20.16 52.47 35.83   0.00
5/6/13/26    5 -20.16 52.47 35.83   0.00
3/5/8/30     5 -20.16 52.47 35.83   0.00
7/8/9/22     5 -20.16 52.47 35.83   0.00
8/12/14/23   6 -18.68 52.47 35.83   0.00
2/8/16/22    5 -20.17 52.47 35.83   0.00
8/11/15/26   6 -18.68 52.47 35.83   0.00
5/6/25/26    5 -20.17 52.48 35.83   0.00
6/20         3 -22.84 52.48 35.83   0.00
16/20/26/30  5 -20.17 52.48 35.84   0.00
6/8/28       6 -18.68 52.48 35.84   0.00
6/19/27      4 -21.55 52.48 35.84   0.00
3/5/22/26    5 -20.17 52.48 35.84   0.00
2/3/8/22     5 -20.17 52.48 35.84   0.00
2/20/26/30   5 -20.17 52.48 35.84   0.00
3/5/16/26    5 -20.17 52.48 35.84   0.00
2/8/18/22    5 -20.17 52.48 35.84   0.00
18/20/26/30  5 -20.17 52.48 35.84   0.00
5/11/26      5 -20.17 52.49 35.84   0.00
2/5/24/26    5 -20.17 52.49 35.84   0.00
3/5/20/26    5 -20.17 52.49 35.84   0.00
4/22         3 -22.84 52.49 35.85   0.00
4/8/10/19    6 -18.69 52.49 35.85   0.00
8/15/26/29   6 -18.69 52.49 35.85   0.00
5/6/8/11     6 -18.69 52.49 35.85   0.00
12/16/26/30  5 -20.17 52.49 35.85   0.00
3/5/25/26    5 -20.17 52.49 35.85   0.00
1/10/11/23   8 -15.37 52.49 35.85   0.00
8/14/15/21   5 -20.18 52.50 35.85   0.00
6/8/10/18    6 -18.69 52.50 35.85   0.00
6/8/10/14    6 -18.69 52.50 35.85   0.00
5/6/18/26    5 -20.18 52.50 35.86   0.00
2/8/16/18    5 -20.18 52.50 35.86   0.00
2/8/15/18    5 -20.18 52.50 35.86   0.00
8/14/26/29   6 -18.69 52.50 35.86   0.00
6/9/18/26    5 -20.18 52.50 35.86   0.00
5/23/26      5 -20.18 52.50 35.86   0.00
2/12         3 -22.85 52.50 35.86   0.00
2/5/8/10     6 -18.69 52.50 35.86   0.00
13/22        3 -22.85 52.50 35.86   0.00
8/11/27      5 -20.18 52.50 35.86   0.00
8/14/16/21   5 -20.18 52.51 35.86   0.00
2/8/15/16    5 -20.18 52.51 35.86   0.00
8/15/16/21   5 -20.18 52.51 35.86   0.00
4/8/21/23    6 -18.70 52.51 35.87   0.00
8/12/23/30   6 -18.70 52.51 35.87   0.00
3/5/8/9      5 -20.18 52.51 35.87   0.00
2/3/8/15     5 -20.18 52.51 35.87   0.00
6/27/30      4 -21.57 52.51 35.87   0.00
2/12/26/30   5 -20.19 52.51 35.87   0.00
8/18/26/29   6 -18.70 52.51 35.87   0.00
6/8/10/25    6 -18.70 52.52 35.87   0.00
12/14/26/30  5 -20.19 52.52 35.88   0.00
12/22/26/30  5 -20.19 52.52 35.88   0.00
7/8/18/30    5 -20.19 52.52 35.88   0.00
2/3/8/18     5 -20.19 52.52 35.88   0.00
6/8/10/15    6 -18.71 52.52 35.88   0.00
6/8/9/10     6 -18.71 52.52 35.88   0.00
2/3/8/16     5 -20.19 52.52 35.88   0.00
4/14         3 -22.86 52.52 35.88   0.00
6/8/10/16    6 -18.71 52.53 35.88   0.00
8/12/22/25   5 -20.19 52.53 35.88   0.00
5/8/16/30    5 -20.19 52.53 35.88   0.00
3/8/15/27    5 -20.19 52.53 35.89   0.00
5/7/9/26     5 -20.19 52.53 35.89   0.00
5/6/14/26    5 -20.20 52.53 35.89   0.00
8/10/14      5 -20.20 52.54 35.89   0.00
8/20/26/29   6 -18.71 52.54 35.89   0.00
5/7/24/26    5 -20.20 52.54 35.90   0.00
8/15/16/27   5 -20.20 52.54 35.90   0.00
8/15/24/27   5 -20.20 52.54 35.90   0.00
11/21/24/26  6 -18.71 52.54 35.90   0.00
5/6/22/26    5 -20.20 52.54 35.90   0.00
6/13/24/26   5 -20.20 52.54 35.90   0.00
6/9/15/26    5 -20.20 52.54 35.90   0.00
5/6/20/26    5 -20.20 52.54 35.90   0.00
5/6/16/26    5 -20.20 52.54 35.90   0.00
8/14/15/27   5 -20.20 52.54 35.90   0.00
4/8/20/23    6 -18.72 52.55 35.90   0.00
3/8/10       5 -20.20 52.55 35.91   0.00
7/14/26/30   5 -20.20 52.55 35.91   0.00
4/10/20/26   6 -18.72 52.55 35.91   0.00
2/30         3 -22.87 52.55 35.91   0.00
23           3 -22.88 52.55 35.91   0.00
8/12/14/24   5 -20.21 52.56 35.92   0.00
7/8/20/23    6 -18.72 52.56 35.92   0.00
5/9/18/26    5 -20.21 52.56 35.92   0.00
5/8/15/19    5 -20.21 52.56 35.92   0.00
7/8/13/22    5 -20.21 52.56 35.92   0.00
7/8/12/25    5 -20.21 52.56 35.92   0.00
8/9/12/16    5 -20.21 52.56 35.92   0.00
7/8/12/23    6 -18.73 52.57 35.92   0.00
8/22/26/29   6 -18.73 52.57 35.92   0.00
8/12/15/22   5 -20.21 52.57 35.92   0.00
8/13/26/29   6 -18.73 52.57 35.93   0.00
8/25/26/29   6 -18.73 52.57 35.93   0.00
3/13/21      4 -21.60 52.57 35.93   0.00
5/8/24/27    5 -20.21 52.57 35.93   0.00
7/15/26/30   5 -20.22 52.57 35.93   0.00
5/15/24/26   5 -20.22 52.58 35.94   0.00
6/8/21/29    6 -18.74 52.58 35.94   0.00
8/29/30      5 -20.22 52.59 35.94   0.00
10/26/29     6 -18.74 52.59 35.95   0.00
6/9/10/26    6 -18.74 52.59 35.95   0.00
2/5/9/26     5 -20.22 52.59 35.95   0.00
8/12/14/16   5 -20.22 52.59 35.95   0.00
3/8/12/14    5 -20.22 52.59 35.95   0.00
11/13/21/26  6 -18.74 52.59 35.95   0.00
12/14        3 -22.90 52.59 35.95   0.00
9/15/26/30   5 -20.22 52.59 35.95   0.00
2/13/21      4 -21.61 52.59 35.95   0.00
8/10/15      5 -20.23 52.59 35.95   0.00
9/18/26/30   5 -20.23 52.59 35.95   0.00
8/15/19/22   5 -20.23 52.60 35.95   0.00
4/6/8/11     6 -18.74 52.60 35.95   0.00
8/10/16      5 -20.23 52.60 35.95   0.00
5/8/16/27    5 -20.23 52.60 35.96   0.00
3/5/8/27     5 -20.23 52.60 35.96   0.00
8/10/24      5 -20.23 52.60 35.96   0.00
6/9/14/26    5 -20.23 52.60 35.96   0.00
5/8/9/22     5 -20.23 52.60 35.96   0.00
3/8/12/13    5 -20.23 52.60 35.96   0.00
8/10/20/30   6 -18.75 52.60 35.96   0.00
9/12         3 -22.90 52.60 35.96   0.00
11/12/21/26  6 -18.75 52.60 35.96   0.00
5/8/14/27    5 -20.23 52.61 35.97   0.00
11/14/21/26  6 -18.75 52.61 35.97   0.00
7/8/20/22    5 -20.24 52.62 35.98   0.00
3/7/8/12     5 -20.24 52.62 35.98   0.00
8/19/22/25   5 -20.24 52.62 35.98   0.00
10/21        4 -21.62 52.62 35.98   0.00
6/10/26/27   6 -18.76 52.62 35.98   0.00
8/9/13/20    5 -20.24 52.62 35.98   0.00
4/12         3 -22.91 52.62 35.98   0.00
5/18/24/26   5 -20.24 52.63 35.98   0.00
6/7/8/11     6 -18.76 52.63 35.99   0.00
6/9/25/26    5 -20.24 52.63 35.99   0.00
3/15/24/26   5 -20.24 52.63 35.99   0.00
6/10         4 -21.63 52.63 35.99   0.00
5/7/8/12     5 -20.25 52.63 35.99   0.00
8/12/16/22   5 -20.25 52.63 35.99   0.00
9/19/26/30   5 -20.25 52.64 36.00   0.00
7/8/16/30    5 -20.25 52.64 36.00   0.00
7/22/26/30   5 -20.25 52.64 36.00   0.00
8/12/13/15   5 -20.25 52.64 36.00   0.00
3/8/12/22    5 -20.25 52.64 36.00   0.00
8/18/19/25   5 -20.25 52.64 36.00   0.00
8/11/13/26   6 -18.76 52.64 36.00   0.00
3/11/21/26   6 -18.76 52.64 36.00   0.00
8/12/22/24   5 -20.25 52.64 36.00   0.00
6/9/16/26    5 -20.25 52.64 36.00   0.00
2/9/26/30    5 -20.25 52.64 36.00   0.00
9/16/26/30   5 -20.25 52.64 36.00   0.00
3/5/8/19     5 -20.25 52.64 36.00   0.00
5/8/9/20     5 -20.25 52.64 36.00   0.00
13/20        3 -22.92 52.64 36.00   0.00
12/23/26     5 -20.25 52.65 36.00   0.00
7/18/26/30   5 -20.25 52.65 36.00   0.00
8/16/19/22   5 -20.25 52.65 36.01   0.00
8/13/20/22   5 -20.25 52.65 36.01   0.00
9/22/26/30   5 -20.25 52.65 36.01   0.00
8/13/20/25   5 -20.25 52.65 36.01   0.00
5/13/24/26   5 -20.26 52.65 36.01   0.00
6/9/24/26    5 -20.26 52.65 36.01   0.00
7/8/9/13     5 -20.26 52.66 36.01   0.00
8/19/24/25   5 -20.26 52.66 36.01   0.00
7/19/26/30   5 -20.26 52.66 36.01   0.00
8/11/20/26   6 -18.77 52.66 36.01   0.00
6/9/22/26    5 -20.26 52.66 36.01   0.00
8/11/14/26   6 -18.77 52.66 36.02   0.00
7/8/18/20    5 -20.26 52.66 36.02   0.00
8/11/18/26   6 -18.78 52.66 36.02   0.00
8/12/13/24   5 -20.26 52.66 36.02   0.00
8/15/19/25   5 -20.26 52.66 36.02   0.00
8/12/13/16   5 -20.26 52.66 36.02   0.00
8/11/25/26   6 -18.78 52.67 36.02   0.00
7/16/26/30   5 -20.26 52.67 36.02   0.00
6/23/26      5 -20.26 52.67 36.02   0.00
2/9          3 -22.93 52.67 36.02   0.00
12/22        3 -22.93 52.67 36.03   0.00
14/15/26/30  5 -20.26 52.67 36.03   0.00
8/12/18/29   6 -18.78 52.67 36.03   0.00
5/8/19/20    5 -20.27 52.67 36.03   0.00
3/8/19/25    5 -20.27 52.68 36.03   0.00
15/19/26/30  5 -20.27 52.68 36.03   0.00
8/11/22/26   6 -18.78 52.68 36.04   0.00
13/14        3 -22.94 52.68 36.04   0.00
2/7/26/30    5 -20.27 52.68 36.04   0.00
2/6/9/26     5 -20.27 52.68 36.04   0.00
11/21/22/26  6 -18.79 52.68 36.04   0.00
2/5/15/26    5 -20.27 52.68 36.04   0.00
7/8/19/23    6 -18.79 52.68 36.04   0.00
8/11/12      5 -20.27 52.69 36.04   0.00
14/19/26/30  5 -20.27 52.69 36.05   0.00
8/19/29      5 -20.27 52.69 36.05   0.00
5/8/16/19    5 -20.27 52.69 36.05   0.00
8/19/21/23   6 -18.79 52.69 36.05   0.00
16/30        3 -22.94 52.69 36.05   0.00
8/20/21/23   6 -18.79 52.69 36.05   0.00
8/21/23/30   6 -18.79 52.69 36.05   0.00
6/9/20/26    5 -20.27 52.69 36.05   0.00
15/16/26/30  5 -20.28 52.69 36.05   0.00
5/8/19/24    5 -20.28 52.69 36.05   0.00
5/8/14/19    5 -20.28 52.70 36.06   0.00
6/12/15/26   5 -20.28 52.70 36.06   0.00
4/8/23/30    6 -18.79 52.70 36.06   0.00
5/7/8/30     5 -20.28 52.70 36.06   0.00
8/13/18/20   5 -20.28 52.70 36.06   0.00
8/16/19/25   5 -20.28 52.70 36.06   0.00
9/13         3 -22.95 52.70 36.06   0.00
8/19/20/25   5 -20.28 52.70 36.06   0.00
4/11/21/26   6 -18.80 52.70 36.06   0.00
14/16/26/30  5 -20.28 52.71 36.06   0.00
3/6/9/26     5 -20.28 52.71 36.06   0.00
8/14/19/25   5 -20.28 52.71 36.06   0.00
15/22/26/30  5 -20.28 52.71 36.07   0.00
3/13/15/26   5 -20.28 52.71 36.07   0.00
15/18/26/30  5 -20.29 52.72 36.07   0.00
6/15/25/26   5 -20.29 52.72 36.08   0.00
3/9/15/26    5 -20.29 52.72 36.08   0.00
3/15/25/26   5 -20.29 52.72 36.08   0.00
6/15/24/26   5 -20.29 52.72 36.08   0.00
3/5/8/12     5 -20.29 52.72 36.08   0.00
2/15/26/30   5 -20.29 52.72 36.08   0.00
11/20/21/26  6 -18.80 52.72 36.08   0.00
8/20/23/30   6 -18.81 52.72 36.08   0.00
5/7/8/22     5 -20.29 52.72 36.08   0.00
3/4          3 -22.96 52.73 36.08   0.00
20/23/26     5 -20.29 52.73 36.08   0.00
8/18/19/22   5 -20.29 52.73 36.08   0.00
7/8/9/25     5 -20.29 52.73 36.08   0.00
6/15/27      4 -21.67 52.73 36.09   0.00
4/20         3 -22.96 52.73 36.09   0.00
14/18/26/30  5 -20.29 52.73 36.09   0.00
2/14/26/30   5 -20.29 52.73 36.09   0.00
6/18/27      4 -21.67 52.73 36.09   0.00
14/22/26/30  5 -20.29 52.73 36.09   0.00
2/11/26      5 -20.29 52.73 36.09   0.00
5/22/24/26   5 -20.29 52.73 36.09   0.00
3/6/15/26    5 -20.29 52.73 36.09   0.00
3/8/16/30    5 -20.29 52.73 36.09   0.00
8/19/22/24   5 -20.30 52.73 36.09   0.00
3/12/15/26   5 -20.30 52.74 36.09   0.00
5/12/15/26   5 -20.30 52.74 36.09   0.00
3/8/24/27    5 -20.30 52.74 36.10   0.00
8/14/24/27   5 -20.30 52.74 36.10   0.00
8/16/24/27   5 -20.30 52.74 36.10   0.00
12/13/21     4 -21.68 52.74 36.10   0.00
15/23/26     5 -20.30 52.74 36.10   0.00
8/21/26/28   7 -17.22 52.74 36.10   0.00
13/16        3 -22.97 52.74 36.10   0.00
5/12/24/26   5 -20.30 52.75 36.10   0.00
6/19/20/26   5 -20.30 52.75 36.11   0.00
13/20/21     4 -21.69 52.75 36.11   0.00
9/11/26      5 -20.30 52.75 36.11   0.00
5/12/18/26   5 -20.30 52.75 36.11   0.00
3/7/8/13     5 -20.30 52.75 36.11   0.00
3/8/22/30    5 -20.30 52.75 36.11   0.00
3/15/20/26   5 -20.31 52.75 36.11   0.00
7/8/10/21    6 -18.82 52.76 36.11   0.00
8/15/18/19   5 -20.31 52.76 36.12   0.00
8/9/20/24    5 -20.31 52.76 36.12   0.00
3/8/14/27    5 -20.31 52.76 36.12   0.00
8/14/16/27   5 -20.31 52.76 36.12   0.00
5/9/13/26    5 -20.31 52.76 36.12   0.00
8/14/19/22   5 -20.31 52.76 36.12   0.00
2/14         3 -22.98 52.76 36.12   0.00
3/8/16/27    5 -20.31 52.76 36.12   0.00
5/7/15/26    5 -20.31 52.76 36.12   0.00
2/5/7/26     5 -20.31 52.76 36.12   0.00
4/7          3 -22.98 52.77 36.12   0.00
4/10/24/26   6 -18.83 52.77 36.13   0.00
5/7/12/26    5 -20.31 52.77 36.13   0.00
16/22/26/30  5 -20.31 52.77 36.13   0.00
3/9/13/26    5 -20.31 52.77 36.13   0.00
3/15/16/26   5 -20.31 52.77 36.13   0.00
3/8/15/19    5 -20.31 52.77 36.13   0.00
8/18/22/30   5 -20.31 52.77 36.13   0.00
8/16/18/19   5 -20.31 52.77 36.13   0.00
2/5          3 -22.99 52.77 36.13   0.00
19/22/26/30  5 -20.32 52.77 36.13   0.00
