
Call:
model.avg(object = stse_consensus@objects)

Component model call: 
glm(formula = paste(f, ""), family = binomial, data = data)

Component models: 
            df logLik  AICc delta weight
1/2/7/17     5  -9.37 30.88 14.24   0.00
1/5/13/17    5  -9.37 30.89 14.25   0.00
1/6/17/24    5  -9.39 30.91 14.27   0.00
1/13/17/26   5  -9.39 30.91 14.27   0.00
1/2/9/17     5  -9.39 30.92 14.28   0.00
1/2/17/18    5  -9.39 30.93 14.29   0.00
1/2/17/25    5  -9.39 30.93 14.29   0.00
1/2/12/17    5  -9.39 30.93 14.29   0.00
1/2/17/21    5  -9.39 30.93 14.29   0.00
1/15/17/26   5  -9.40 30.95 14.30   0.00
1/3/13/17    5  -9.41 30.96 14.32   0.00
8/12/17/29   6  -7.94 30.98 14.34   0.00
1/6/17/26    5  -9.43 31.00 14.36   0.00
1/7/13/17    5  -9.44 31.03 14.39   0.00
8/14/17/29   6  -7.97 31.04 14.40   0.00
1/6/17/20    5  -9.47 31.08 14.43   0.00
1/5/17/30    5  -9.47 31.08 14.44   0.00
1/5/17/24    5  -9.52 31.18 14.54   0.00
1/13/17/22   5  -9.52 31.18 14.54   0.00
1/17/20/26   5  -9.53 31.20 14.55   0.00
8/17/26/29   6  -8.05 31.21 14.57   0.00
1/17/26/30   5  -9.54 31.22 14.58   0.00
1/12/17/26   5  -9.55 31.25 14.61   0.00
1/5/17/20    5  -9.55 31.25 14.61   0.00
1/13/17/18   5  -9.56 31.26 14.62   0.00
1/13/15/17   5  -9.57 31.28 14.64   0.00
8/14/17/23   6  -8.10 31.31 14.66   0.00
4/8/17/29    6  -8.13 31.37 14.73   0.00
1/3/17/26    5  -9.62 31.39 14.75   0.00
1/3/17/20    5  -9.63 31.41 14.77   0.00
1/6/15/17    5  -9.63 31.41 14.77   0.00
1/12/13/17   5  -9.63 31.41 14.77   0.00
1/3/5/17     5  -9.64 31.42 14.78   0.00
1/6/17/25    5  -9.65 31.44 14.80   0.00
1/17/20/24   5  -9.65 31.45 14.80   0.00
1/13/16/17   5  -9.66 31.46 14.81   0.00
1/5/15/17    5  -9.66 31.46 14.82   0.00
1/10/17/29   7  -6.58 31.46 14.82   0.00
1/13/17/25   5  -9.66 31.47 14.83   0.00
1/6/7/17     5  -9.68 31.50 14.86   0.00
1/5/7/17     5  -9.68 31.50 14.86   0.00
1/10/17      5  -9.68 31.50 14.86   0.00
1/13/17/19   5  -9.68 31.51 14.87   0.00
1/3/6/17     5  -9.69 31.52 14.88   0.00
1/7/17/20    5  -9.69 31.53 14.89   0.00
1/6/12/17    5  -9.69 31.53 14.89   0.00
1/13/17/21   5  -9.69 31.53 14.89   0.00
1/17/18/26   5  -9.69 31.53 14.89   0.00
1/5/17/25    5  -9.71 31.56 14.92   0.00
1/17/25/26   5  -9.72 31.58 14.94   0.00
1/5/16/17    5  -9.72 31.59 14.95   0.00
1/3/17/24    5  -9.73 31.60 14.96   0.00
1/6/17/30    5  -9.73 31.61 14.96   0.00
1/5/12/17    5  -9.74 31.62 14.98   0.00
1/5/9/17     5  -9.74 31.62 14.98   0.00
5/8/17/26    5  -9.74 31.63 14.99   0.00
1/5/17/19    5  -9.74 31.63 14.99   0.00
1/6/17/22    5  -9.74 31.63 14.99   0.00
8/15/17      4 -11.14 31.65 15.01   0.00
8/9/17/29    6  -8.27 31.65 15.01   0.00
1/4/6/17     5  -9.76 31.66 15.02   0.00
1/7/17/24    5  -9.76 31.66 15.02   0.00
1/17/24/30   5  -9.77 31.69 15.05   0.00
1/17/20/25   5  -9.78 31.69 15.05   0.00
1/15/17/20   5  -9.78 31.70 15.06   0.00
1/6/9/17     5  -9.78 31.70 15.06   0.00
1/5/17/22    5  -9.78 31.70 15.06   0.00
1/4/17/26    5  -9.79 31.72 15.08   0.00
1/6/17/19    5  -9.79 31.72 15.08   0.00
1/6/17/18    5  -9.79 31.73 15.09   0.00
1/6/16/17    5  -9.79 31.73 15.09   0.00
1/5/17/18    5  -9.79 31.73 15.09   0.00
1/5/17/21    5  -9.79 31.73 15.09   0.00
1/17/19/26   5  -9.79 31.73 15.09   0.00
8/17/25/29   6  -8.31 31.73 15.09   0.00
1/6/17/21    5  -9.80 31.73 15.09   0.00
4/8/17       4 -11.18 31.74 15.10   0.00
1/16/17/26   5  -9.80 31.74 15.10   0.00
1/17/21/26   5  -9.80 31.74 15.10   0.00
7/8/17/29    6  -8.33 31.77 15.13   0.00
1/8/10/17    6  -8.33 31.77 15.13   0.00
8/11/14/17   6  -8.33 31.78 15.14   0.00
1/17/19/20   5  -9.82 31.78 15.14   0.00
1/17/20/22   5  -9.83 31.80 15.16   0.00
8/17/19/29   6  -8.36 31.84 15.20   0.00
8/15/17/26   5  -9.85 31.85 15.21   0.00
8/17/24/29   6  -8.39 31.88 15.24   0.00
6/8/17/29    6  -8.39 31.89 15.25   0.00
8/15/17/29   6  -8.39 31.89 15.25   0.00
8/9/17       4 -11.26 31.90 15.26   0.00
1/17/24/25   5  -9.88 31.90 15.26   0.00
1/4/17/20    5  -9.88 31.91 15.27   0.00
8/13/17/26   5  -9.90 31.94 15.29   0.00
1/12/17/20   5  -9.91 31.95 15.31   0.00
1/17/22/24   5  -9.91 31.96 15.32   0.00
8/14/17/28   7  -6.83 31.96 15.32   0.00
1/9/17/20    5  -9.92 31.98 15.34   0.00
1/3/17/30    5  -9.92 31.99 15.34   0.00
1/17/18/20   5  -9.92 31.99 15.35   0.00
1/16/17/20   5  -9.93 32.00 15.36   0.00
1/15/17/24   5  -9.93 32.00 15.36   0.00
1/17/20/21   5  -9.93 32.00 15.36   0.00
1/17/23/29   7  -6.85 32.01 15.37   0.00
8/17/18/29   6  -8.47 32.05 15.41   0.00
8/10/14/17   6  -8.48 32.06 15.42   0.00
1/3/7/17     5  -9.96 32.07 15.43   0.00
1/4/17/24    5  -9.97 32.07 15.43   0.00
1/12/17/24   5  -9.97 32.08 15.44   0.00
1/3/15/17    5  -9.97 32.08 15.44   0.00
1/7/17/30    5  -9.97 32.09 15.45   0.00
8/13/15/17   5  -9.97 32.09 15.45   0.00
3/8/17/29    6  -8.50 32.12 15.47   0.00
1/17/18/24   5  -9.99 32.12 15.48   0.00
1/11/17      5  -9.99 32.13 15.49   0.00
1/3/17/22    5  -9.99 32.13 15.49   0.00
1/3/17/25    5 -10.00 32.14 15.50   0.00
1/16/17/24   5 -10.00 32.15 15.51   0.00
1/17/19/24   5 -10.00 32.15 15.51   0.00
1/9/17/24    5 -10.00 32.15 15.51   0.00
1/17/21/24   5 -10.00 32.15 15.51   0.00
1/17/22/30   5 -10.01 32.16 15.52   0.00
8/17/22/29   6  -8.53 32.16 15.52   0.00
1/3/9/17     5 -10.02 32.18 15.54   0.00
5/8/17       4 -11.40 32.18 15.54   0.00
1/7/15/17    5 -10.02 32.18 15.54   0.00
1/3/17/18    5 -10.02 32.19 15.55   0.00
1/3/12/17    5 -10.02 32.19 15.55   0.00
8/13/17/29   6  -8.54 32.19 15.55   0.00
8/17/19      4 -11.41 32.19 15.55   0.00
2/8/17/29    6  -8.55 32.21 15.57   0.00
8/17/29/30   6  -8.55 32.21 15.57   0.00
1/3/16/17    5 -10.04 32.22 15.58   0.00
8/17/20/29   6  -8.56 32.22 15.58   0.00
8/16/17/29   6  -8.56 32.23 15.59   0.00
1/7/17/25    5 -10.05 32.24 15.59   0.00
8/17/21/29   6  -8.56 32.24 15.60   0.00
1/3/4/17     5 -10.06 32.26 15.61   0.00
1/7/17/22    5 -10.06 32.26 15.62   0.00
1/7/12/17    5 -10.06 32.27 15.62   0.00
1/3/17/19    5 -10.06 32.27 15.63   0.00
1/3/17/21    5 -10.06 32.27 15.63   0.00
8/13/17/19   5 -10.07 32.28 15.64   0.00
1/15/17/22   5 -10.07 32.28 15.64   0.00
1/5/10/17    6  -8.59 32.28 15.64   0.00
1/4/7/17     5 -10.07 32.28 15.64   0.00
1/17/22/25   5 -10.08 32.31 15.66   0.00
1/16/17/30   5 -10.09 32.31 15.67   0.00
1/7/16/17    5 -10.09 32.33 15.69   0.00
1/15/17/30   5 -10.10 32.33 15.69   0.00
1/17/18/30   5 -10.10 32.33 15.69   0.00
1/7/17/18    5 -10.10 32.34 15.70   0.00
1/7/9/17     5 -10.11 32.36 15.71   0.00
1/7/17/19    5 -10.11 32.37 15.72   0.00
1/7/17/21    5 -10.11 32.37 15.72   0.00
1/4/17/30    5 -10.11 32.37 15.73   0.00
8/17/24/26   5 -10.11 32.37 15.73   0.00
1/9/17/30    5 -10.13 32.40 15.76   0.00
1/16/17/25   5 -10.13 32.40 15.76   0.00
1/12/17/30   5 -10.13 32.41 15.77   0.00
3/8/17/26    5 -10.14 32.42 15.78   0.00
1/17/25/30   5 -10.14 32.43 15.79   0.00
1/17/19/30   5 -10.14 32.43 15.79   0.00
1/17/21/30   5 -10.14 32.43 15.79   0.00
1/12/17/22   5 -10.15 32.44 15.80   0.00
1/4/15/17    5 -10.15 32.44 15.80   0.00
8/13/17/20   5 -10.15 32.45 15.81   0.00
1/4/17/22    5 -10.16 32.46 15.82   0.00
1/15/16/17   5 -10.16 32.46 15.82   0.00
1/4/17/25    5 -10.16 32.46 15.82   0.00
1/12/15/17   5 -10.17 32.47 15.83   0.00
1/12/17/18   5 -10.17 32.48 15.83   0.00
1/15/17/25   5 -10.17 32.48 15.84   0.00
6/8/17       4 -11.56 32.49 15.85   0.00
1/9/15/17    5 -10.18 32.49 15.85   0.00
1/16/17/22   5 -10.18 32.50 15.86   0.00
1/15/17/18   5 -10.18 32.51 15.87   0.00
8/13/17/30   5 -10.19 32.52 15.88   0.00
1/9/17/25    5 -10.19 32.53 15.88   0.00
1/15/17/19   5 -10.19 32.53 15.89   0.00
1/9/17/22    5 -10.20 32.53 15.89   0.00
1/12/17/25   5 -10.20 32.53 15.89   0.00
1/15/17/21   5 -10.20 32.54 15.90   0.00
1/4/17/18    5 -10.20 32.54 15.90   0.00
1/17/18/22   5 -10.20 32.54 15.90   0.00
1/8/17/23    6  -8.72 32.55 15.91   0.00
8/17/20      4 -11.59 32.55 15.91   0.00
1/17/19/22   5 -10.21 32.56 15.92   0.00
1/17/18/25   5 -10.21 32.56 15.92   0.00
4/8/17/26    5 -10.21 32.57 15.93   0.00
1/17/21/22   5 -10.21 32.57 15.93   0.00
3/8/17       4 -11.60 32.58 15.94   0.00
1/4/12/17    5 -10.23 32.59 15.95   0.00
1/8/19/25    5 -10.23 32.61 15.97   0.00
