
Call:
model.avg(object = bab_consensus@objects)

Component model call: 
glm(formula = paste(f, ""), family = binomial, data = data)

Component models: 
            df logLik  AICc delta weight
8/14/19/21   5 -14.32 40.95  9.02   0.00
4/15/22/27   5 -14.33 40.96  9.03   0.00
15/16/21     4 -15.74 40.96  9.03   0.00
4/12/15/27   5 -14.33 40.96  9.03   0.00
8/14/27      4 -15.74 40.97  9.04   0.00
8/15/30      4 -15.75 40.99  9.06   0.00
14/16/18/21  5 -14.35 41.00  9.07   0.00
4/15/19/27   5 -14.35 41.01  9.08   0.00
1/3/15/22    5 -14.35 41.01  9.08   0.00
15/25/27     4 -15.77 41.01  9.08   0.00
1/3/5/15     5 -14.35 41.02  9.09   0.00
1/15/25/28   7 -11.19 41.04  9.11   0.00
1/3/15/30    5 -14.37 41.05  9.12   0.00
8/13/14/21   5 -14.38 41.06  9.13   0.00
4/15/27/30   5 -14.38 41.07  9.14   0.00
4/14/16      4 -15.79 41.07  9.14   0.00
8/15/25/30   5 -14.39 41.08  9.15   0.00
3/15/18/25   5 -14.39 41.08  9.15   0.00
4/14/15/16   5 -14.39 41.08  9.16   0.00
8/15/27      4 -15.81 41.10  9.17   0.00
1/14/15/27   5 -14.40 41.11  9.18   0.00
5/8/15/21    5 -14.40 41.11  9.18   0.00
14           2 -18.35 41.11  9.18   0.00
1/14/15      4 -15.81 41.11  9.18   0.00
13/15/21     4 -15.82 41.11  9.18   0.00
3/8/16/21    5 -14.40 41.12  9.19   0.00
8/14/21/25   5 -14.41 41.12  9.19   0.00
12/14/21     4 -15.82 41.12  9.19   0.00
4/10/14/19   6 -12.89 41.14  9.21   0.00
3/4/14/15    5 -14.41 41.14  9.21   0.00
15/16/21/25  5 -14.42 41.15  9.22   0.00
3/21         3 -17.15 41.15  9.22   0.00
5/8/14/21    5 -14.42 41.16  9.23   0.00
14/21/27     4 -15.84 41.17  9.24   0.00
15/21/30     4 -15.85 41.18  9.25   0.00
1/15/28      6 -12.91 41.18  9.25   0.00
3/15/19/25   5 -14.44 41.19  9.26   0.00
4/9/14/21    6 -12.92 41.19  9.26   0.00
6/8/15/21    5 -14.45 41.20  9.27   0.00
14/15/20/27  5 -14.45 41.22  9.29   0.00
4/14/19      4 -15.87 41.22  9.29   0.00
1/15/21/30   5 -14.46 41.22  9.29   0.00
4/15/21/30   5 -14.46 41.23  9.30   0.00
15/21/27     4 -15.88 41.24  9.31   0.00
1/7/15/21    6 -12.94 41.24  9.31   0.00
3/8/15/25    5 -14.47 41.25  9.32   0.00
4/14/15/30   5 -14.47 41.25  9.32   0.00
4/14/18/20   5 -14.47 41.25  9.32   0.00
15/20/21     4 -15.89 41.26  9.33   0.00
8/15/25      4 -15.89 41.26  9.34   0.00
4/8/14       4 -15.90 41.27  9.35   0.00
8/14/20/21   5 -14.48 41.28  9.35   0.00
4/14/21/23   6 -12.96 41.28  9.35   0.00
14/15/19/27  5 -14.49 41.28  9.35   0.00
3/7/21       5 -14.49 41.28  9.35   0.00
3/7/8/21     5 -14.49 41.28  9.35   0.00
3/14/15      4 -15.91 41.29  9.36   0.00
4/15/16/21   5 -14.49 41.29  9.36   0.00
6/8/14/21    5 -14.49 41.29  9.36   0.00
1/14/21      4 -15.92 41.31  9.38   0.00
8/14/15      4 -15.92 41.31  9.38   0.00
4/14/15/22   5 -14.51 41.32  9.40   0.00
3/15/18/27   5 -14.51 41.33  9.40   0.00
1/15/16/21   5 -14.52 41.35  9.42   0.00
4/15/18/25   5 -14.52 41.35  9.42   0.00
8/16/21/29   6 -13.00 41.37  9.44   0.00
8/14/22      4 -15.94 41.37  9.44   0.00
1/13/15/21   5 -14.53 41.37  9.44   0.00
14/27        3 -17.26 41.37  9.44   0.00
4/7/27/29    7 -11.35 41.37  9.44   0.00
4/14/19/22   5 -14.54 41.38  9.45   0.00
4/14/18/19   5 -14.54 41.39  9.46   0.00
14/21/30     4 -15.96 41.41  9.48   0.00
4/6/14       4 -15.97 41.41  9.48   0.00
13/14/21     4 -15.97 41.42  9.49   0.00
4/13/14/15   5 -14.55 41.42  9.49   0.00
15/19/21     4 -15.97 41.42  9.50   0.00
4/14/17/21   6 -13.04 41.44  9.51   0.00
8/14/22/27   5 -14.57 41.44  9.51   0.00
1/3/7/15     6 -13.04 41.45  9.52   0.00
8/15         3 -17.30 41.45  9.52   0.00
4/15/16/25   5 -14.57 41.45  9.52   0.00
4/15/25/30   5 -14.58 41.46  9.53   0.00
4/12/14/15   5 -14.58 41.46  9.54   0.00
14/20/21     4 -16.00 41.47  9.54   0.00
15/21/22     4 -16.00 41.48  9.55   0.00
4/15/21/22   5 -14.59 41.48  9.56   0.00
4/15/20/21   5 -14.59 41.49  9.56   0.00
6/15/21      4 -16.00 41.49  9.56   0.00
5/15/21      4 -16.00 41.49  9.56   0.00
3/14/21/29   6 -13.07 41.49  9.56   0.00
14/15/18     4 -16.01 41.50  9.57   0.00
15/16/25     4 -16.02 41.52  9.59   0.00
15/27        3 -17.33 41.52  9.59   0.00
3/14/18      4 -16.02 41.52  9.59   0.00
8/12/14/27   5 -14.61 41.52  9.59   0.00
4/7/15/21    6 -13.08 41.52  9.59   0.00
3/4/14       4 -16.02 41.52  9.59   0.00
12/14/15/27  5 -14.61 41.52  9.59   0.00
8/15/21/29   6 -13.08 41.53  9.60   0.00
7/14/21/27   6 -13.09 41.54  9.61   0.00
4/5/15/25    5 -14.62 41.54  9.61   0.00
6/14/21      4 -16.03 41.55  9.62   0.00
14/15/17/21  6 -13.10 41.56  9.63   0.00
1/3/8/21     5 -14.63 41.56  9.63   0.00
10/14/15/21  6 -13.11 41.58  9.65   0.00
4/12/15/25   5 -14.63 41.58  9.65   0.00
1/15/19/28   7 -11.46 41.58  9.65   0.00
5/14/21      4 -16.05 41.59  9.66   0.00
4/6/15/21    5 -14.64 41.59  9.66   0.00
14/22        3 -17.37 41.59  9.66   0.00
4/15/19/25   5 -14.64 41.59  9.66   0.00
1/14/15/25   5 -14.64 41.60  9.67   0.00
8/15/25/27   5 -14.65 41.60  9.67   0.00
3/15/21/29   6 -13.12 41.60  9.67   0.00
14/21/25     4 -16.06 41.60  9.67   0.00
14/19/21     4 -16.06 41.61  9.68   0.00
4/13/15/21   5 -14.65 41.61  9.68   0.00
4/14/21/26   6 -13.12 41.61  9.68   0.00
4/10/14/15   6 -13.12 41.61  9.68   0.00
4/8/15/25    5 -14.65 41.62  9.69   0.00
8/11/15/21   6 -13.13 41.62  9.69   0.00
4/8/14/22    5 -14.66 41.62  9.69   0.00
14/15/21/23  6 -13.13 41.62  9.69   0.00
4/14/21/29   6 -13.13 41.62  9.70   0.00
3/4/14/18    5 -14.66 41.63  9.71   0.00
4/15/19/21   5 -14.67 41.64  9.71   0.00
4/6/14/18    5 -14.67 41.64  9.71   0.00
7/14/15/27   6 -13.15 41.65  9.72   0.00
1/8/14/22    5 -14.67 41.65  9.72   0.00
1/8/15/27    5 -14.68 41.67  9.74   0.00
3/15/16/25   5 -14.68 41.68  9.75   0.00
1/15/18/21   5 -14.69 41.68  9.75   0.00
3/14/18/22   5 -14.70 41.70  9.77   0.00
8/14         3 -17.42 41.70  9.77   0.00
1/14/21/22   5 -14.70 41.71  9.78   0.00
1/8/15/25    5 -14.70 41.71  9.78   0.00
4/8/15/30    5 -14.71 41.73  9.80   0.00
3/18/21      4 -16.12 41.73  9.80   0.00
4/5/7/14     6 -13.18 41.73  9.80   0.00
8/15/24/27   6 -13.20 41.75  9.82   0.00
4/5/14/22    5 -14.73 41.76  9.83   0.00
3/12/14/27   5 -14.73 41.77  9.84   0.00
4/13/14/18   5 -14.73 41.77  9.84   0.00
14/15/21/26  6 -13.21 41.77  9.85   0.00
14/15/22/25  5 -14.74 41.78  9.85   0.00
1/15/21/22   5 -14.75 41.81  9.88   0.00
3/8/15       4 -16.17 41.81  9.88   0.00
15/21/28     6 -13.23 41.81  9.88   0.00
14/15/19     4 -16.17 41.82  9.89   0.00
3/13/15/25   5 -14.76 41.83  9.90   0.00
14/18/21/28  7 -11.58 41.84  9.91   0.00
4/6/15/27    5 -14.77 41.85  9.92   0.00
4/14/21/24   6 -13.25 41.85  9.92   0.00
4/14/20      4 -16.19 41.85  9.92   0.00
1/2/3/15     6 -13.25 41.85  9.93   0.00
4/14/16/19   5 -14.77 41.86  9.93   0.00
3/14/20/27   5 -14.78 41.86  9.93   0.00
1/4/6/15     5 -14.78 41.87  9.94   0.00
4/7/15/27    6 -13.25 41.87  9.94   0.00
14/21/28     6 -13.26 41.87  9.94   0.00
7/11/14/21   7 -11.60 41.88  9.95   0.00
3/9/15/21    6 -13.26 41.88  9.95   0.00
3/8/14       4 -16.20 41.88  9.95   0.00
11/15/21/25  6 -13.26 41.88  9.95   0.00
13/14/15/27  5 -14.79 41.88  9.96   0.00
1/12/15/21   5 -14.79 41.89  9.97   0.00
7/14/19/21   6 -13.27 41.90  9.97   0.00
1/4/15/20    5 -14.79 41.90  9.97   0.00
1/4/14       4 -16.21 41.90  9.97   0.00
1/4/15/16    5 -14.80 41.91  9.98   0.00
3/6/15/25    5 -14.80 41.91  9.98   0.00
4/8/14/18    5 -14.80 41.92  9.99   0.00
9/15/21      5 -14.81 41.92  9.99   0.00
15/18/25     4 -16.22 41.92  9.99   0.00
14/15/18/25  5 -14.81 41.92  9.99   0.00
4/7/14       5 -14.81 41.92  9.99   0.00
4/7/8/14     5 -14.81 41.92  9.99   0.00
3/14/22      4 -16.22 41.92 10.00   0.00
4/7/14/22    6 -13.28 41.93 10.00   0.00
3            2 -18.76 41.93 10.01   0.00
12/15/21/25  5 -14.82 41.94 10.01   0.00
1/14/16/21   5 -14.82 41.95 10.02   0.00
1/13/15/28   7 -11.64 41.95 10.02   0.00
4/6/15/25    5 -14.83 41.96 10.03   0.00
15/25/30     4 -16.24 41.96 10.03   0.00
15/19/25     4 -16.24 41.97 10.04   0.00
14/18/22     4 -16.24 41.97 10.04   0.00
15/18/21/25  5 -14.83 41.98 10.05   0.00
3/14/22/27   5 -14.84 41.98 10.05   0.00
1/3/15/24    6 -13.31 41.99 10.06   0.00
1/11/15/21   6 -13.31 41.99 10.06   0.00
4/14/25      4 -16.26 42.00 10.07   0.00
1/8/14/15    5 -14.85 42.00 10.07   0.00
12/14/27     4 -16.26 42.00 10.07   0.00
8/14/15/25   5 -14.85 42.00 10.08   0.00
1/15/25/30   5 -14.85 42.01 10.08   0.00
1/5/15/21    5 -14.85 42.01 10.08   0.00
14/15/19/25  5 -14.86 42.02 10.09   0.00
4/15/20/27   5 -14.86 42.02 10.10   0.00
1/15/21/27   5 -14.86 42.03 10.10   0.00
1/6/15/21    5 -14.86 42.03 10.10   0.00
4/13/15/27   5 -14.87 42.04 10.11   0.00
4/15/16/27   5 -14.87 42.04 10.11   0.00
1/8/15/22    5 -14.87 42.04 10.11   0.00
3/8/18/21    5 -14.87 42.04 10.11   0.00
15/21/29     5 -14.87 42.05 10.12   0.00
15/22/25     4 -16.28 42.05 10.12   0.00
4/15/17/21   6 -13.35 42.05 10.13   0.00
1/15/20/21   5 -14.88 42.06 10.13   0.00
1/15/19/21   5 -14.88 42.06 10.13   0.00
1/8/16/21    5 -14.88 42.07 10.14   0.00
6/14/15/27   5 -14.89 42.08 10.15   0.00
1/15/16/25   5 -14.89 42.09 10.16   0.00
3/15/18      4 -16.30 42.09 10.16   0.00
3/8/27       4 -16.31 42.09 10.16   0.00
8/21         3 -17.63 42.11 10.18   0.00
15/21/25/27  5 -14.90 42.11 10.18   0.00
4/11/14/21   6 -13.38 42.11 10.18   0.00
8/16/21      4 -16.32 42.11 10.18   0.00
3/7/16/21    6 -13.38 42.11 10.18   0.00
7/12/14/21   6 -13.38 42.12 10.19   0.00
1/15/27      4 -16.32 42.13 10.20   0.00
4/10/14      5 -14.91 42.13 10.20   0.00
1/7/14/21    6 -13.39 42.13 10.20   0.00
3/15/17/21   6 -13.39 42.13 10.21   0.00
4/5/8/14     5 -14.92 42.14 10.21   0.00
11/14/21     5 -14.92 42.14 10.21   0.00
4/6/14/16    5 -14.92 42.14 10.22   0.00
3/15/19/27   5 -14.92 42.15 10.22   0.00
3/8/14/22    5 -14.92 42.16 10.23   0.00
15/21/25/30  5 -14.92 42.16 10.23   0.00
14/15/22/27  5 -14.93 42.16 10.23   0.00
14/16/21/22  5 -14.93 42.16 10.23   0.00
14/15/22     4 -16.34 42.17 10.24   0.00
8/14/15/30   5 -14.93 42.17 10.24   0.00
4/27/29      5 -14.93 42.17 10.24   0.00
1/15/19      4 -16.35 42.18 10.25   0.00
14/15/16/25  5 -14.94 42.18 10.25   0.00
3/5/15/25    5 -14.94 42.18 10.25   0.00
3/12/15/25   5 -14.94 42.18 10.26   0.00
1/15/27/28   7 -11.76 42.19 10.26   0.00
12/15/18/21  5 -14.94 42.19 10.26   0.00
15/20/21/25  5 -14.94 42.19 10.26   0.00
1/4/15/18    5 -14.94 42.19 10.26   0.00
14/18/21/27  5 -14.94 42.20 10.27   0.00
1/15/22/25   5 -14.95 42.21 10.28   0.00
3/15/24/27   6 -13.43 42.21 10.28   0.00
3/15/22/25   5 -14.95 42.21 10.28   0.00
3/4/15       4 -16.37 42.22 10.29   0.00
4/14/18/25   5 -14.96 42.22 10.29   0.00
13/15/25     4 -16.37 42.22 10.29   0.00
4/14/22/28   7 -11.78 42.22 10.30   0.00
3/15/25/30   5 -14.96 42.23 10.30   0.00
3/15/20/25   5 -14.96 42.24 10.31   0.00
3/14/15/18   5 -14.97 42.24 10.31   0.00
7/8/14/27    5 -14.97 42.24 10.31   0.00
7/14/27      5 -14.97 42.24 10.31   0.00
12/14/16/21  5 -14.97 42.24 10.31   0.00
4/12/14      4 -16.38 42.25 10.32   0.00
1/3/7/21     6 -13.45 42.25 10.32   0.00
4/5/6/14     5 -14.98 42.26 10.33   0.00
1/15/30      4 -16.39 42.26 10.33   0.00
14/18        3 -17.70 42.26 10.33   0.00
4/8/15       4 -16.39 42.26 10.33   0.00
8/14/18/22   5 -14.98 42.27 10.34   0.00
15/28/29     7 -11.80 42.27 10.34   0.00
1/15/19/25   5 -14.98 42.27 10.34   0.00
3/8/21/22    5 -14.98 42.27 10.34   0.00
3/14/19      4 -16.39 42.27 10.34   0.00
4/13/15/25   5 -14.98 42.27 10.35   0.00
12/14/18/21  5 -14.99 42.28 10.35   0.00
5/15/21/28   7 -11.81 42.28 10.35   0.00
13/15/21/25  5 -14.99 42.29 10.36   0.00
4/15/20/25   5 -14.99 42.29 10.36   0.00
4/15/28      6 -13.47 42.29 10.36   0.00
4/15/22/25   5 -14.99 42.30 10.37   0.00
1/15/25/27   5 -14.99 42.30 10.37   0.00
14/16/21/30  5 -15.00 42.31 10.38   0.00
1/4/13/15    5 -15.00 42.32 10.39   0.00
4/7/14/15    6 -13.48 42.32 10.39   0.00
14/18/27     4 -16.42 42.32 10.39   0.00
1/4/15/22    5 -15.01 42.33 10.40   0.00
