
Call:
model.avg(object = spmsc_consensus@objects)

Component model call: 
lmer(formula = BTM ~ <31931 unique rhs>, data = data)

Component models: 
                    df logLik   AICc delta weight
2/6/16/18/19/20/21  10 -36.64 103.28  9.84   0.00
2/15/16/18/19/21/24 10 -36.66 103.31  9.87   0.00
2/6/16/18/19/21/30  10 -36.66 103.32  9.88   0.00
2/10/16/19/21        8 -40.70 103.41  9.97   0.00
2/8/16/19/21/25      9 -38.80 103.42  9.98   0.00
2/16/18/19/21/23/27 10 -36.72 103.45 10.01   0.00
2/11/15/16/19/21/25 10 -36.73 103.45 10.01   0.00
2/15/16/18/19/21/29 10 -36.73 103.46 10.02   0.00
2/13/16/18/19/21    10 -36.74 103.48 10.03   0.00
2/7/16/18/19/21/30  10 -36.75 103.50 10.06   0.00
1/2/15/16/19/21/22  10 -36.76 103.52 10.07   0.00
2/4/15/16/18/19/21  10 -36.76 103.52 10.08   0.00
2/9/15/16/19/21/28  10 -36.76 103.53 10.09   0.00
2/6/16/18/19/21/27  10 -36.77 103.53 10.09   0.00
2/8/16/19/21/28      9 -38.86 103.54 10.10   0.00
2/7/9/16/18/19/21   10 -36.78 103.55 10.11   0.00
2/6/16/18/19/21/22  10 -36.78 103.56 10.11   0.00
1/2/16/18/19/21/25  10 -36.79 103.57 10.13   0.00
2/7/8/16/19/21       9 -38.88 103.58 10.14   0.00
2/10/15/16/18/19/21 10 -36.79 103.58 10.14   0.00
2/15/16/19/21/25/28 10 -36.80 103.59 10.15   0.00
2/7/16/18/19/20/21  10 -36.80 103.60 10.16   0.00
2/7/16/18/19/21/22  10 -36.81 103.63 10.19   0.00
2/16/19/21/24        8 -40.81 103.63 10.19   0.00
2/16/18/19/21/28/30 10 -36.82 103.65 10.21   0.00
2/4/16/18/19/21/25  10 -36.83 103.65 10.21   0.00
2/8/16/17/18/19/21  10 -36.83 103.67 10.23   0.00
2/6/15/16/19/21/25  10 -36.84 103.68 10.24   0.00
2/8/15/16/19/21/25  10 -36.84 103.68 10.24   0.00
2/8/16/18/19/21/32  11 -34.56 103.69 10.25   0.00
2/8/15/16/19/21/22  10 -36.87 103.74 10.29   0.00
2/8/11/16/19/21      9 -38.96 103.75 10.31   0.00
2/7/11/15/16/19/21  10 -36.88 103.76 10.31   0.00
2/8/16/19/21/30      9 -38.97 103.76 10.32   0.00
2/5/16/19/21         8 -40.89 103.79 10.34   0.00
2/16/18/19/21/26    10 -36.90 103.80 10.36   0.00
2/5/15/16/19/21      9 -39.01 103.84 10.40   0.00
2/7/16/18/19/21/27  10 -36.93 103.85 10.41   0.00
2/15/16/19/21/25/32 11 -34.65 103.87 10.43   0.00
2/9/16/18/19/21/30  10 -36.94 103.88 10.44   0.00
2/11/16/18/19/21/28 10 -36.94 103.89 10.44   0.00
2/6/15/16/19/21/22  10 -36.95 103.90 10.45   0.00
2/15/16/18/19/21/33 10 -36.95 103.91 10.47   0.00
2/15/16/21           7 -42.74 103.95 10.51   0.00
2/8/9/16/19/21       9 -39.08 103.98 10.53   0.00
2/15/16/17/19/21     9 -39.08 103.98 10.53   0.00
2/4/16/18/19/21/23  10 -36.99 103.98 10.54   0.00
2/12/16/18/19/21/23 10 -36.99 103.98 10.54   0.00
2/7/16/19/21/25      9 -39.08 103.99 10.55   0.00
2/15/16/19/21/25/30 10 -37.00 104.00 10.56   0.00
2/4/7/16/18/19/21   10 -37.01 104.01 10.57   0.00
2/10/16/18/19/21/23 10 -37.02 104.03 10.59   0.00
2/7/12/16/18/19/21  10 -37.04 104.07 10.63   0.00
2/8/15/16/19/21/23  10 -37.04 104.08 10.64   0.00
2/9/15/16/19/21/25  10 -37.04 104.08 10.64   0.00
2/11/16/18/19/21/30 10 -37.04 104.09 10.65   0.00
2/6/8/15/16/19/21   10 -37.07 104.13 10.69   0.00
2/8/16/19/21/27      9 -39.16 104.14 10.70   0.00
2/9/16/18/19/20/21  10 -37.07 104.14 10.70   0.00
2/8/11/15/16/19/21  10 -37.07 104.15 10.71   0.00
2/9/16/19/21/28      9 -39.16 104.15 10.71   0.00
2/14/16/18/19/21    10 -37.08 104.17 10.72   0.00
2/4/6/16/18/19/21   10 -37.08 104.17 10.73   0.00
2/8/15/16/19/21/29  10 -37.09 104.18 10.74   0.00
2/9/15/16/19/21/22  10 -37.09 104.19 10.74   0.00
1/2/16/18/19/21/23  10 -37.09 104.19 10.75   0.00
2/15/16/19/20/21/25 10 -37.10 104.19 10.75   0.00
2/16/18/19/20/21/28 10 -37.10 104.19 10.75   0.00
2/16/18/19/20/21/33 10 -37.10 104.20 10.76   0.00
2/9/16/18/19/21/22  10 -37.11 104.21 10.77   0.00
2/7/16/19/21/29      9 -39.20 104.22 10.78   0.00
2/10/16/18/19/21/28 10 -37.11 104.22 10.78   0.00
2/16/18/19/21/22/28 10 -37.11 104.23 10.78   0.00
2/16/18/19/21/24/25 10 -37.12 104.25 10.81   0.00
2/16/18/19/20/21/30 10 -37.13 104.25 10.81   0.00
2/16/18/19/21/23/29 10 -37.13 104.25 10.81   0.00
2/16/19/21/25/28     9 -39.22 104.26 10.82   0.00
2/5/15/16/18/19/21  10 -37.13 104.26 10.82   0.00
2/16/18/19/20/21/27 10 -37.13 104.27 10.83   0.00
2/8/16/19/21/22      9 -39.24 104.31 10.86   0.00
1/2/8/15/16/19/21   10 -37.15 104.31 10.87   0.00
2/8/15/16/19/21/28  10 -37.17 104.33 10.89   0.00
2/16/18/19/21/27/30 10 -37.17 104.33 10.89   0.00
2/9/11/16/18/19/21  10 -37.18 104.35 10.91   0.00
2/15/16/19/21/26    10 -37.18 104.36 10.92   0.00
2/16/18/19/21/22/30 10 -37.19 104.37 10.93   0.00
2/6/16/19/21/25      9 -39.27 104.38 10.93   0.00
2/12/15/16/19/21/25 10 -37.19 104.38 10.94   0.00
2/6/16/19/21/29      9 -39.29 104.41 10.97   0.00
2/6/10/16/18/19/21  10 -37.21 104.41 10.97   0.00
2/7/16/19/21/23      9 -39.29 104.41 10.97   0.00
2/16/18/19/21/23/33 10 -37.21 104.42 10.98   0.00
2/12/16/18/19/21/28 10 -37.21 104.43 10.99   0.00
2/6/12/16/18/19/21  10 -37.21 104.43 10.99   0.00
2/16/21              6 -44.61 104.45 11.01   0.00
2/16/18/19/21/27/28 10 -37.24 104.48 11.04   0.00
2/16/18/19/20/21/22 10 -37.24 104.49 11.05   0.00
2/4/16/18/21         8 -41.25 104.49 11.05   0.00
2/11/16/18/19/20/21 10 -37.25 104.49 11.05   0.00
2/8/15/16/19/20/21  10 -37.25 104.51 11.06   0.00
2/4/15/16/19/21      9 -39.34 104.51 11.07   0.00
2/16/19/21/25/30     9 -39.34 104.52 11.07   0.00
2/8/12/16/19/21      9 -39.35 104.52 11.08   0.00
2/8/16/19/20/21      9 -39.35 104.53 11.08   0.00
2/8/16/18/19/21/26  11 -35.00 104.56 11.12   0.00
2/4/16/21            7 -43.04 104.57 11.13   0.00
2/16/19/21/23/25     9 -39.38 104.58 11.14   0.00
2/15/16/19/21/22/23 10 -37.29 104.59 11.15   0.00
2/7/10/16/18/19/21  10 -37.30 104.59 11.15   0.00
2/9/16/18/19/21/27  10 -37.30 104.60 11.16   0.00
2/11/16/18/19/21/22 10 -37.30 104.60 11.16   0.00
2/6/11/15/16/19/21  10 -37.30 104.61 11.17   0.00
2/10/16/18/19/20/21 10 -37.31 104.62 11.17   0.00
2/6/16/18/19/21/29  10 -37.31 104.62 11.18   0.00
2/11/15/16/19/21/22 10 -37.31 104.63 11.18   0.00
2/6/16/19/21/25/29  10 -37.32 104.63 11.19   0.00
2/8/9/15/16/19/21   10 -37.32 104.64 11.20   0.00
2/4/16/18/19/20/21  10 -37.32 104.65 11.21   0.00
2/8/10/16/19/21      9 -39.41 104.65 11.21   0.00
1/2/6/16/18/19/21   10 -37.33 104.66 11.21   0.00
1/2/7/16/18/19/21   10 -37.34 104.68 11.24   0.00
2/7/15/16/19/21/25  10 -37.34 104.69 11.25   0.00
1/2/4/16/18/19/21   10 -37.35 104.69 11.25   0.00
2/6/9/15/16/19/21   10 -37.35 104.70 11.26   0.00
2/6/15/16/19/21/23  10 -37.36 104.73 11.29   0.00
2/8/13/16/18/19/21  11 -35.08 104.73 11.29   0.00
2/11/15/16/19/21/23 10 -37.38 104.75 11.31   0.00
2/7/16/18/19/21/29  10 -37.38 104.76 11.31   0.00
2/8/10/15/16/19/21  10 -37.38 104.76 11.32   0.00
2/9/15/16/19/21/23  10 -37.38 104.77 11.33   0.00
1/2/16/18/19/21/28  10 -37.38 104.77 11.33   0.00
2/6/16/18/19/21/33  10 -37.39 104.78 11.34   0.00
2/7/11/16/21         8 -41.39 104.78 11.34   0.00
2/9/16/19/21/29      9 -39.48 104.79 11.35   0.00
2/15/16/17/18/19/21 10 -37.40 104.79 11.35   0.00
2/7/9/16/19/21       9 -39.48 104.79 11.35   0.00
1/2/8/16/19/21       9 -39.49 104.81 11.36   0.00
2/11/16/19/21/25     9 -39.49 104.81 11.37   0.00
2/15/16/19/20/21/22 10 -37.41 104.82 11.37   0.00
2/16/18/19/21/23/24 10 -37.41 104.82 11.38   0.00
2/7/16/18/19/21/33  10 -37.42 104.83 11.39   0.00
2/11/16/18/19/21/27 10 -37.42 104.83 11.39   0.00
2/5/16/18/19/21/25  10 -37.42 104.84 11.40   0.00
2/16/19/21/23/29     9 -39.51 104.84 11.40   0.00
2/8/16/19/21/25/29  10 -37.43 104.86 11.42   0.00
2/9/16/19/21/25      9 -39.52 104.86 11.42   0.00
2/5/16/18/19/21/23  10 -37.43 104.87 11.42   0.00
2/15/16/19/20/21/23 10 -37.44 104.87 11.43   0.00
2/16/18/19/21/22/27 10 -37.45 104.90 11.46   0.00
2/4/9/16/18/19/21   10 -37.46 104.93 11.48   0.00
2/9/16/19/21/23      9 -39.56 104.94 11.50   0.00
2/7/8/15/16/19/21   10 -37.49 104.97 11.53   0.00
2/6/11/16/19/21      9 -39.59 105.01 11.56   0.00
2/16/19/21/25/33     9 -39.60 105.02 11.58   0.00
2/7/16/19/21/30      9 -39.60 105.02 11.58   0.00
2/7/16/19/21/28      9 -39.60 105.03 11.59   0.00
2/6/9/16/19/21       9 -39.60 105.04 11.59   0.00
2/15/16/19/21/25/27 10 -37.52 105.05 11.61   0.00
2/7/16/19/21/32     10 -37.53 105.05 11.61   0.00
2/8/15/16/19/21/30  10 -37.53 105.05 11.61   0.00
2/4/16/18/19/21/22  10 -37.54 105.07 11.63   0.00
2/8/12/15/16/19/21  10 -37.54 105.07 11.63   0.00
2/3/16/18/19/21      9 -39.63 105.08 11.64   0.00
2/4/16/19/21/29      9 -39.63 105.08 11.64   0.00
2/12/16/18/19/21/30 10 -37.55 105.10 11.66   0.00
1/2/15/16/19/21/23  10 -37.55 105.11 11.67   0.00
2/9/12/16/18/19/21  10 -37.56 105.11 11.67   0.00
2/9/15/16/19/20/21  10 -37.56 105.13 11.69   0.00
2/7/16/18/21         8 -41.58 105.16 11.72   0.00
2/10/16/18/19/21/30 10 -37.59 105.18 11.74   0.00
2/8/15/16/19/21/27  10 -37.59 105.18 11.74   0.00
2/16/19/21/29/30     9 -39.68 105.18 11.74   0.00
2/9/11/15/16/19/21  10 -37.60 105.20 11.76   0.00
2/4/16/18/19/21/30  10 -37.60 105.21 11.77   0.00
2/6/15/16/19/20/21  10 -37.61 105.21 11.77   0.00
2/13/16/19/21        9 -39.70 105.23 11.79   0.00
2/6/7/11/16/19/21   10 -37.62 105.25 11.81   0.00
2/6/7/15/16/19/21   10 -37.63 105.26 11.81   0.00
2/6/16/19/21/23      9 -39.71 105.26 11.81   0.00
2/12/16/18/19/20/21 10 -37.63 105.26 11.82   0.00
2/15/16/19/21/22/29 10 -37.63 105.27 11.83   0.00
1/2/15/16/19/21/25  10 -37.63 105.27 11.83   0.00
2/8/16/19/21/33      9 -39.73 105.28 11.83   0.00
2/7/16/18/19/21/24  10 -37.64 105.28 11.84   0.00
2/6/16/18/19/21/24  10 -37.64 105.29 11.85   0.00
2/16/18/19/21/28/29 10 -37.65 105.30 11.86   0.00
2/16/17/19/21        8 -41.66 105.32 11.88   0.00
2/11/16/19/21/29     9 -39.75 105.32 11.88   0.00
2/16/18/19/21/28/33 10 -37.66 105.33 11.88   0.00
2/9/10/16/18/19/21  10 -37.66 105.33 11.89   0.00
2/6/8/16/19/21/29   10 -37.67 105.34 11.90   0.00
2/16/19/21/26        9 -39.77 105.36 11.92   0.00
2/16/18/19/21/30/33 10 -37.68 105.37 11.93   0.00
2/11/15/16/19/20/21 10 -37.69 105.37 11.93   0.00
