
Call:
model.avg(object = spmsc_consensus@objects)

Component model call: 
lmer(formula = BTM ~ <31931 unique rhs>, data = data)

Component models: 
                    df logLik   AICc delta weight
2/7/10/16/18/21/26  11 -42.18 118.94 25.50   0.00
2/9/16/17/18/21/25  10 -44.47 118.94 25.50   0.00
2/16/19/21/23/25/31 12 -39.67 118.94 25.50   0.00
2/4/10/15/16/21/28  10 -44.47 118.94 25.50   0.00
2/6/15/16/21/22/24  10 -44.47 118.94 25.50   0.00
2/8/13/16/21/29     10 -44.47 118.94 25.50   0.00
2/5/7/10/16/18/21   10 -44.47 118.94 25.50   0.00
2/9/12/16/21/23/24  10 -44.47 118.94 25.50   0.00
2/6/8/11/16/21/25   10 -44.47 118.94 25.50   0.00
2/13/15/16/20/21/25 11 -42.18 118.94 25.50   0.00
2/4/14/16/19/20/21  11 -42.18 118.94 25.50   0.00
1/2/3/16/21          8 -48.47 118.94 25.50   0.00
2/4/6/16/20/21/28   10 -44.47 118.94 25.50   0.00
2/8/16/19/21/27/31  12 -39.67 118.95 25.50   0.00
2/10/16/19/21/24/26 11 -42.19 118.95 25.50   0.00
1/2/7/15/16/21/24   10 -44.47 118.95 25.50   0.00
2/4/7/10/16/21/29   10 -44.47 118.95 25.50   0.00
2/13/15/16/21/23/28 11 -42.19 118.95 25.50   0.00
2/9/15/16/21/22/24  10 -44.47 118.95 25.50   0.00
2/6/8/16/21/22/28   10 -44.47 118.95 25.50   0.00
1/2/4/5/7/16/21     10 -44.47 118.95 25.51   0.00
2/5/8/16/18/21/30   10 -44.47 118.95 25.51   0.00
2/6/8/10/16/21/23   10 -44.47 118.95 25.51   0.00
1/2/9/10/16/21       9 -46.56 118.95 25.51   0.00
2/16/18/21/27/31    11 -42.19 118.95 25.51   0.00
2/10/16/21/24/28     9 -46.56 118.95 25.51   0.00
2/6/11/16/19/21/31  12 -39.68 118.95 25.51   0.00
1/2/16/21/24/30      9 -46.56 118.95 25.51   0.00
2/9/16/17/21/29      9 -46.56 118.95 25.51   0.00
2/11/16/21/24/32    10 -44.48 118.95 25.51   0.00
2/8/15/16/21/26/27  11 -42.19 118.95 25.51   0.00
2/8/16/21/24/26     10 -44.48 118.95 25.51   0.00
2/4/8/11/16/21/28   10 -44.48 118.96 25.51   0.00
2/16/17/20/21/28     9 -46.56 118.96 25.51   0.00
2/4/10/15/16/21/27  10 -44.48 118.96 25.51   0.00
2/9/15/16/21/24/30  10 -44.48 118.96 25.51   0.00
2/15/16/21/23/24/30 10 -44.48 118.96 25.51   0.00
2/4/5/7/15/16/21    10 -44.48 118.96 25.51   0.00
2/15/16/21/22/25/33 10 -44.48 118.96 25.51   0.00
2/4/8/9/16/21/27    10 -44.48 118.96 25.51   0.00
2/15/16/21/26/29/30 11 -42.19 118.96 25.52   0.00
2/15/16/21/26/28/33 11 -42.19 118.96 25.52   0.00
2/7/16/21/24/26     10 -44.48 118.96 25.52   0.00
1/2/13/16/21/28     10 -44.48 118.96 25.52   0.00
2/9/16/17/21/22      9 -46.57 118.96 25.52   0.00
2/4/5/16/17/21       9 -46.57 118.96 25.52   0.00
1/2/14/15/16/21/28  11 -42.19 118.96 25.52   0.00
1/2/6/15/16/21/32   11 -42.20 118.96 25.52   0.00
2/8/9/15/16/21/24   10 -44.48 118.96 25.52   0.00
2/7/15/16/21/25/29  10 -44.48 118.96 25.52   0.00
2/15/16/21/23/30/33 10 -44.48 118.96 25.52   0.00
2/5/9/16/21/28/29   10 -44.48 118.96 25.52   0.00
2/16/18/20/21/30/32 11 -42.20 118.96 25.52   0.00
2/4/6/8/10/16/21    10 -44.48 118.96 25.52   0.00
2/8/12/16/21/23/24  10 -44.48 118.96 25.52   0.00
2/10/14/15/16/21    10 -44.48 118.96 25.52   0.00
2/8/11/16/17/21      9 -46.57 118.97 25.52   0.00
2/11/16/21/24/29     9 -46.57 118.97 25.52   0.00
2/6/8/11/16/21/22   10 -44.48 118.97 25.53   0.00
2/7/12/16/21/23/24  10 -44.48 118.97 25.53   0.00
2/6/10/16/21/23/28  10 -44.48 118.97 25.53   0.00
2/7/10/15/16/21/22  10 -44.48 118.97 25.53   0.00
1/2/15/16/21/24/25  10 -44.48 118.97 25.53   0.00
2/16/18/21/28/30/31 12 -39.68 118.97 25.53   0.00
2/9/10/16/20/21/28  10 -44.48 118.97 25.53   0.00
2/4/16/21/22/28/30  10 -44.48 118.97 25.53   0.00
2/8/15/16/21/25/33  10 -44.49 118.97 25.53   0.00
2/4/11/12/16/21/25  10 -44.49 118.97 25.53   0.00
2/4/7/15/16/21/24   10 -44.49 118.97 25.53   0.00
2/7/8/16/20/21/25   10 -44.49 118.97 25.53   0.00
2/5/16/21/26/27     10 -44.49 118.97 25.53   0.00
2/5/6/12/16/21/28   10 -44.49 118.97 25.53   0.00
2/12/16/18/21/26/30 11 -42.20 118.97 25.53   0.00
2/10/16/17/18/20/21 10 -44.49 118.97 25.53   0.00
2/9/11/16/21/23/24  10 -44.49 118.97 25.53   0.00
1/2/16/21/28/31     11 -42.20 118.97 25.53   0.00
2/7/15/16/21/29/30  10 -44.49 118.97 25.53   0.00
2/5/11/15/16/21/27  10 -44.49 118.97 25.53   0.00
2/5/16/18/21/28/29  10 -44.49 118.97 25.53   0.00
1/2/3/4/16/18/21    10 -44.49 118.98 25.53   0.00
2/15/16/21/26/28/32 12 -39.69 118.98 25.53   0.00
2/16/18/21/30/31    11 -42.20 118.98 25.54   0.00
2/7/8/12/16/21/32   11 -42.20 118.98 25.54   0.00
2/8/11/16/21/28/33  10 -44.49 118.98 25.54   0.00
2/4/12/16/19/21/26  11 -42.20 118.98 25.54   0.00
1/2/8/16/19/21/31   12 -39.69 118.98 25.54   0.00
2/4/9/16/21/29/30   10 -44.49 118.98 25.54   0.00
2/6/12/13/16/21     10 -44.49 118.98 25.54   0.00
2/11/16/17/18/20/21 10 -44.49 118.98 25.54   0.00
2/12/16/20/21/23/25 10 -44.49 118.98 25.54   0.00
2/6/7/13/15/16/21   11 -42.21 118.98 25.54   0.00
2/8/15/16/21/25/29  10 -44.49 118.98 25.54   0.00
2/5/9/10/16/21/28   10 -44.49 118.98 25.54   0.00
2/6/16/18/21/30/32  11 -42.21 118.98 25.54   0.00
2/10/12/16/21/26    10 -44.49 118.98 25.54   0.00
2/6/16/17/21/29      9 -46.58 118.98 25.54   0.00
1/2/16/21/23/27/28  10 -44.49 118.98 25.54   0.00
2/5/15/16/20/21/29  10 -44.49 118.98 25.54   0.00
2/8/15/16/21/24/27  10 -44.49 118.98 25.54   0.00
2/13/16/18/21/27/28 11 -42.21 118.98 25.54   0.00
2/7/10/16/21/23/27  10 -44.49 118.99 25.54   0.00
2/8/16/21/23/24/27  10 -44.49 118.99 25.54   0.00
2/6/8/11/16/21/27   10 -44.49 118.99 25.54   0.00
2/6/15/16/21/24/30  10 -44.49 118.99 25.54   0.00
2/6/16/21/23/27/29  10 -44.49 118.99 25.54   0.00
2/4/10/16/19/21/26  11 -42.21 118.99 25.54   0.00
2/5/11/16/21/24      9 -46.58 118.99 25.54   0.00
2/16/20/21/22/23/27 10 -44.49 118.99 25.55   0.00
1/2/16/21/22/32     10 -44.49 118.99 25.55   0.00
2/6/7/8/16/21/24    10 -44.49 118.99 25.55   0.00
2/4/5/16/21/22/23   10 -44.49 118.99 25.55   0.00
2/7/10/12/16/21/28  10 -44.49 118.99 25.55   0.00
2/5/11/15/16/21/26  11 -42.21 118.99 25.55   0.00
2/8/9/16/21/23/33   10 -44.50 118.99 25.55   0.00
1/2/15/16/21/29/30  10 -44.50 118.99 25.55   0.00
2/9/15/16/21/24/25  10 -44.50 118.99 25.55   0.00
2/5/8/16/21/23/28   10 -44.50 118.99 25.55   0.00
2/13/16/18/21/22/28 11 -42.21 118.99 25.55   0.00
2/7/9/16/21/25/30   10 -44.50 118.99 25.55   0.00
2/9/12/15/16/21/26  11 -42.21 118.99 25.55   0.00
2/8/16/21/25/28/30  10 -44.50 118.99 25.55   0.00
1/2/8/15/16/21/24   10 -44.50 118.99 25.55   0.00
2/5/9/16/17/21       9 -46.58 118.99 25.55   0.00
2/6/16/21/24/33      9 -46.58 118.99 25.55   0.00
2/16/20/21/25/26    10 -44.50 119.00 25.55   0.00
2/7/9/16/18/21/26   11 -42.21 119.00 25.56   0.00
2/16/19/21/26/31    12 -39.70 119.00 25.56   0.00
1/2/16/18/21/25/33  10 -44.50 119.00 25.56   0.00
2/6/8/15/16/21/24   10 -44.50 119.00 25.56   0.00
2/3/6/16/18/21/23   10 -44.50 119.00 25.56   0.00
2/7/15/16/17/20/21  10 -44.50 119.00 25.56   0.00
2/4/9/16/17/21/32   11 -42.21 119.00 25.56   0.00
2/13/16/19/21/31    12 -39.70 119.00 25.56   0.00
2/16/17/21/30/32    10 -44.50 119.00 25.56   0.00
2/5/16/18/21/23/33  10 -44.50 119.00 25.56   0.00
2/12/16/20/21/28/30 10 -44.50 119.00 25.56   0.00
2/12/13/15/16/18/21 11 -42.21 119.00 25.56   0.00
2/10/11/16/18/21/24 10 -44.50 119.00 25.56   0.00
1/2/12/14/16/19/21  11 -42.22 119.00 25.56   0.00
2/6/7/12/16/21/22   10 -44.50 119.00 25.56   0.00
2/6/15/16/21/23/32  11 -42.22 119.00 25.56   0.00
2/7/11/12/13/16/21  11 -42.22 119.00 25.56   0.00
2/4/5/7/9/16/21     10 -44.50 119.00 25.56   0.00
2/9/10/16/18/21/29  10 -44.50 119.00 25.56   0.00
2/7/9/15/16/21/24   10 -44.50 119.00 25.56   0.00
2/4/16/21/27/29/30  10 -44.50 119.01 25.56   0.00
2/15/16/21/22/25/32 11 -42.22 119.01 25.56   0.00
1/2/15/16/21/26/33  11 -42.22 119.01 25.56   0.00
2/6/16/17/21/30      9 -46.59 119.01 25.56   0.00
2/5/8/16/18/21/24   10 -44.50 119.01 25.56   0.00
2/15/16/21/22/25/29 10 -44.50 119.01 25.56   0.00
2/4/16/18/21/26/33  11 -42.22 119.01 25.56   0.00
2/16/17/18/21/23/27 10 -44.50 119.01 25.57   0.00
2/6/11/12/16/20/21  10 -44.50 119.01 25.57   0.00
2/6/10/16/21/33      9 -46.59 119.01 25.57   0.00
2/7/16/20/21/22/28  10 -44.50 119.01 25.57   0.00
2/3/6/8/16/18/21    10 -44.50 119.01 25.57   0.00
2/5/7/8/16/20/21    10 -44.50 119.01 25.57   0.00
2/11/16/18/21/31    11 -42.22 119.01 25.57   0.00
1/2/4/16/20/21/29   10 -44.51 119.01 25.57   0.00
2/8/12/13/16/18/21  11 -42.22 119.01 25.57   0.00
2/13/16/20/21/33    10 -44.51 119.01 25.57   0.00
2/8/10/16/18/21/26  11 -42.22 119.01 25.57   0.00
2/12/16/21/26/27    10 -44.51 119.01 25.57   0.00
2/11/16/21/31       10 -44.51 119.02 25.57   0.00
2/3/16/19/21/22/28  10 -44.51 119.02 25.57   0.00
2/7/13/16/18/21/30  11 -42.22 119.02 25.58   0.00
2/7/16/19/21/25/31  12 -39.71 119.02 25.58   0.00
2/5/16/21/28/29      9 -46.60 119.02 25.58   0.00
2/7/16/18/21/26/27  11 -42.22 119.02 25.58   0.00
2/10/16/18/21/28/32 11 -42.22 119.02 25.58   0.00
2/5/16/21/27/29      9 -46.60 119.02 25.58   0.00
2/8/16/18/21/27/32  11 -42.23 119.02 25.58   0.00
2/7/8/15/16/21/33   10 -44.51 119.02 25.58   0.00
2/4/5/15/16/21/23   10 -44.51 119.02 25.58   0.00
2/16/21/23/27/28/29 10 -44.51 119.02 25.58   0.00
2/16/21/23/25/27/30 10 -44.51 119.02 25.58   0.00
1/2/16/21/26/33     10 -44.51 119.03 25.58   0.00
1/2/7/16/21/28/29   10 -44.51 119.03 25.58   0.00
2/6/16/21/22/23/24  10 -44.51 119.03 25.59   0.00
2/4/13/16/21/33     10 -44.51 119.03 25.59   0.00
1/2/15/16/21/27/33  10 -44.51 119.03 25.59   0.00
2/9/13/16/17/19/21  11 -42.23 119.03 25.59   0.00
2/8/9/16/17/18/21   10 -44.51 119.03 25.59   0.00
2/4/15/16/21/23/24  10 -44.51 119.03 25.59   0.00
2/5/7/8/16/21/23    10 -44.51 119.03 25.59   0.00
1/2/9/16/21/23/27   10 -44.51 119.03 25.59   0.00
2/8/13/16/18/21/22  11 -42.23 119.03 25.59   0.00
2/10/11/16/21/29     9 -46.60 119.03 25.59   0.00
2/6/12/13/16/18/21  11 -42.23 119.03 25.59   0.00
2/8/15/16/21/22/26  11 -42.23 119.03 25.59   0.00
1/2/9/15/16/21/33   10 -44.52 119.03 25.59   0.00
2/16/17/21/28/29     9 -46.60 119.03 25.59   0.00
2/11/15/16/21/24/25 10 -44.52 119.03 25.59   0.00
2/4/6/14/16/18/21   11 -42.23 119.03 25.59   0.00
1/2/15/16/21/26/29  11 -42.23 119.04 25.59   0.00
1/2/12/16/21/28/30  10 -44.52 119.04 25.59   0.00
1/2/3/16/19/21/23   10 -44.52 119.04 25.59   0.00
2/14/16/19/21/24/33 11 -42.23 119.04 25.59   0.00
1/2/8/16/21/23/30   10 -44.52 119.04 25.59   0.00
2/6/16/21/31        10 -44.52 119.04 25.59   0.00
2/13/16/18/20/21/25 11 -42.23 119.04 25.59   0.00
2/9/13/16/21/29     10 -44.52 119.04 25.60   0.00
2/4/16/20/21/22/32  11 -42.23 119.04 25.60   0.00
2/15/16/17/20/21/30 10 -44.52 119.04 25.60   0.00
2/3/4/9/16/18/21    10 -44.52 119.04 25.60   0.00
2/4/9/12/16/21/22   10 -44.52 119.04 25.60   0.00
2/8/16/21/25/28/33  10 -44.52 119.04 25.60   0.00
1/2/4/9/16/21/29    10 -44.52 119.04 25.60   0.00
2/4/6/16/21/30/33   10 -44.52 119.04 25.60   0.00
2/6/16/21/28/30/33  10 -44.52 119.04 25.60   0.00
2/7/9/16/20/21/25   10 -44.52 119.04 25.60   0.00
2/6/13/16/18/21/25  11 -42.24 119.05 25.60   0.00
1/2/8/16/21/23/27   10 -44.52 119.05 25.60   0.00
2/6/8/16/21/28/33   10 -44.52 119.05 25.60   0.00
2/5/11/16/18/21/22  10 -44.52 119.05 25.60   0.00
2/7/13/16/18/21/25  11 -42.24 119.05 25.61   0.00
2/8/15/16/21/27/33  10 -44.52 119.05 25.61   0.00
2/4/11/16/21/22/32  11 -42.24 119.05 25.61   0.00
2/8/11/16/18/21/26  11 -42.24 119.05 25.61   0.00
2/7/16/20/21/28/33  10 -44.52 119.05 25.61   0.00
2/11/13/16/21/27    10 -44.52 119.05 25.61   0.00
2/11/13/16/21/22    10 -44.52 119.05 25.61   0.00
1/2/10/15/16/21/30  10 -44.52 119.05 25.61   0.00
2/16/17/21/27/32    10 -44.52 119.05 25.61   0.00
1/2/10/11/16/21      9 -46.61 119.05 25.61   0.00
2/10/14/16/19/21/32 12 -39.72 119.05 25.61   0.00
2/4/16/21/26/33     10 -44.53 119.05 25.61   0.00
2/7/15/16/21/30/32  11 -42.24 119.05 25.61   0.00
2/11/16/21/25/27/28 10 -44.53 119.05 25.61   0.00
2/3/16/21/22/23      9 -46.61 119.05 25.61   0.00
2/4/8/10/16/21/32   11 -42.24 119.05 25.61   0.00
2/9/12/16/21/23/33  10 -44.53 119.05 25.61   0.00
2/3/13/16/19/21/25  11 -42.24 119.05 25.61   0.00
1/2/16/21/22/29      9 -46.61 119.05 25.61   0.00
2/14/16/21/28/30    10 -44.53 119.05 25.61   0.00
2/9/16/19/21/29/31  12 -39.73 119.05 25.61   0.00
2/12/16/18/21/27/32 11 -42.24 119.05 25.61   0.00
2/5/10/16/17/19/21  10 -44.53 119.05 25.61   0.00
2/16/21/27/32/33    10 -44.53 119.05 25.61   0.00
2/16/19/21/29/30/31 12 -39.73 119.06 25.61   0.00
1/2/4/11/16/21/29   10 -44.53 119.06 25.61   0.00
1/2/16/20/21/23/28  10 -44.53 119.06 25.62   0.00
2/10/16/21/22/25     9 -46.62 119.06 25.62   0.00
2/10/11/12/16/21/23 10 -44.53 119.06 25.62   0.00
2/15/16/21/22/27/29 10 -44.53 119.06 25.62   0.00
1/2/9/12/16/21/23   10 -44.53 119.06 25.62   0.00
1/2/7/16/21/23/33   10 -44.53 119.06 25.62   0.00
2/14/16/18/21/23/28 11 -42.24 119.06 25.62   0.00
2/12/16/21/22/23/27 10 -44.53 119.06 25.62   0.00
2/4/6/16/17/21/32   11 -42.24 119.06 25.62   0.00
2/4/8/12/16/21/27   10 -44.53 119.06 25.62   0.00
2/4/15/16/21/28/33  10 -44.53 119.06 25.62   0.00
2/8/16/20/21/23/24  10 -44.53 119.06 25.62   0.00
2/8/16/21/32/33     10 -44.53 119.06 25.62   0.00
1/2/10/16/20/21      9 -46.62 119.06 25.62   0.00
2/6/11/16/20/21/22  10 -44.53 119.06 25.62   0.00
2/16/18/21/24/31    11 -42.25 119.06 25.62   0.00
2/6/8/15/16/21/32   11 -42.25 119.06 25.62   0.00
2/6/10/11/16/21/28  10 -44.53 119.07 25.62   0.00
2/5/15/16/21/23/25  10 -44.53 119.07 25.62   0.00
2/10/16/18/21/29/30 10 -44.53 119.07 25.62   0.00
2/3/16/19/21/22/30  10 -44.53 119.07 25.62   0.00
1/2/5/6/15/16/21    10 -44.53 119.07 25.62   0.00
2/7/16/21/23/24/27  10 -44.53 119.07 25.63   0.00
2/11/15/16/21/22/33 10 -44.53 119.07 25.63   0.00
2/8/15/16/21/27/32  11 -42.25 119.07 25.63   0.00
2/14/16/17/18/21    10 -44.53 119.07 25.63   0.00
2/16/18/21/27/28/31 12 -39.73 119.07 25.63   0.00
2/4/5/7/16/21/25    10 -44.53 119.07 25.63   0.00
2/4/11/16/21/25/28  10 -44.54 119.07 25.63   0.00
2/5/7/16/20/21/25   10 -44.54 119.07 25.63   0.00
2/4/16/20/21/23/28  10 -44.54 119.07 25.63   0.00
2/9/16/17/21/28/30  10 -44.54 119.07 25.63   0.00
2/16/21/24/26/30    10 -44.54 119.07 25.63   0.00
2/5/16/20/21/22/23  10 -44.54 119.07 25.63   0.00
2/12/16/20/21/25/28 10 -44.54 119.07 25.63   0.00
2/13/15/16/17/21    10 -44.54 119.07 25.63   0.00
2/7/11/14/16/21/33  11 -42.25 119.07 25.63   0.00
2/16/18/21/28/29/32 11 -42.25 119.07 25.63   0.00
2/4/5/16/21/26      10 -44.54 119.07 25.63   0.00
2/6/7/14/16/21/23   11 -42.25 119.07 25.63   0.00
2/6/8/16/21/28/29   10 -44.54 119.08 25.63   0.00
1/2/16/21/30/33      9 -46.62 119.08 25.63   0.00
2/4/16/21/25/28/29  10 -44.54 119.08 25.63   0.00
2/5/9/16/20/21/24   10 -44.54 119.08 25.63   0.00
2/7/16/21/23/27/33  10 -44.54 119.08 25.63   0.00
2/7/9/13/15/16/21   11 -42.25 119.08 25.64   0.00
1/2/16/21/25/26     10 -44.54 119.08 25.64   0.00
2/6/16/21/22/25/28  10 -44.54 119.08 25.64   0.00
2/15/16/17/18/21/22 10 -44.54 119.08 25.64   0.00
2/6/16/21/23/29/30  10 -44.54 119.08 25.64   0.00
2/16/18/20/21/25/26 11 -42.25 119.08 25.64   0.00
2/7/8/10/16/21/32   11 -42.25 119.08 25.64   0.00
2/10/15/16/21/25/30 10 -44.54 119.08 25.64   0.00
2/16/18/21/22/25/33 10 -44.54 119.08 25.64   0.00
2/16/18/21/22/25/26 11 -42.25 119.08 25.64   0.00
1/2/16/21/26/32     11 -42.25 119.08 25.64   0.00
1/2/6/7/9/16/21     10 -44.54 119.08 25.64   0.00
2/7/8/9/16/20/21    10 -44.54 119.08 25.64   0.00
2/4/7/11/16/17/21   10 -44.54 119.08 25.64   0.00
2/16/21/22/29/32    10 -44.54 119.08 25.64   0.00
2/5/8/16/21/30       9 -46.63 119.08 25.64   0.00
2/9/12/15/16/21/24  10 -44.54 119.08 25.64   0.00
2/6/7/16/17/21/23   10 -44.54 119.08 25.64   0.00
2/16/19/20/21/29/31 12 -39.74 119.09 25.64   0.00
2/14/16/19/21/22/24 11 -42.26 119.09 25.64   0.00
2/6/9/11/16/21/27   10 -44.54 119.09 25.64   0.00
2/16/21/23/25/28/32 11 -42.26 119.09 25.65   0.00
2/6/13/16/18/21/30  11 -42.26 119.09 25.65   0.00
2/12/16/21/23/25/29 10 -44.54 119.09 25.65   0.00
2/15/16/21/25/29/30 10 -44.54 119.09 25.65   0.00
2/16/18/21/25/28/31 12 -39.74 119.09 25.65   0.00
2/16/20/21/31       10 -44.55 119.09 25.65   0.00
2/11/16/21/25/28/32 11 -42.26 119.09 25.65   0.00
2/10/16/18/21/25/29 10 -44.55 119.09 25.65   0.00
1/2/13/16/19/21/24  11 -42.26 119.09 25.65   0.00
2/10/11/16/21/32    10 -44.55 119.09 25.65   0.00
2/5/16/18/21/24/28  10 -44.55 119.09 25.65   0.00
2/15/16/21/25/27/33 10 -44.55 119.09 25.65   0.00
2/4/14/16/18/20/21  11 -42.26 119.09 25.65   0.00
1/2/6/7/16/20/21    10 -44.55 119.09 25.65   0.00
2/8/12/15/16/21/32  11 -42.26 119.09 25.65   0.00
2/16/21/23/28/29/30 10 -44.55 119.09 25.65   0.00
2/6/7/16/21/23/26   11 -42.26 119.10 25.65   0.00
1/2/8/16/20/21/23   10 -44.55 119.10 25.65   0.00
2/3/16/19/21/28/33  10 -44.55 119.10 25.65   0.00
2/4/16/21/23/29/32  11 -42.26 119.10 25.66   0.00
2/5/16/18/21/22/30  10 -44.55 119.10 25.66   0.00
2/5/15/16/18/21/26  11 -42.26 119.10 25.66   0.00
2/9/15/16/21/30/32  11 -42.26 119.10 25.66   0.00
2/8/14/16/20/21     10 -44.55 119.10 25.66   0.00
2/4/11/16/21/22/30  10 -44.55 119.10 25.66   0.00
2/8/16/18/21/26/27  11 -42.26 119.10 25.66   0.00
2/5/9/12/16/20/21   10 -44.55 119.10 25.66   0.00
2/7/8/10/16/21/28   10 -44.55 119.10 25.66   0.00
2/12/16/18/21/22/32 11 -42.26 119.10 25.66   0.00
2/9/16/20/21/23/24  10 -44.55 119.10 25.66   0.00
1/2/4/16/20/21/30   10 -44.55 119.10 25.66   0.00
2/4/12/16/21/22/28  10 -44.55 119.10 25.66   0.00
2/9/16/17/21/25/28  10 -44.55 119.10 25.66   0.00
2/4/16/21/23/27/28  10 -44.55 119.10 25.66   0.00
1/2/9/10/16/21/28   10 -44.55 119.10 25.66   0.00
2/3/4/16/18/21/23   10 -44.55 119.10 25.66   0.00
1/2/10/16/18/21/22  10 -44.55 119.10 25.66   0.00
2/7/16/21/28/32/33  11 -42.27 119.10 25.66   0.00
2/9/16/18/21/25/26  11 -42.27 119.10 25.66   0.00
2/5/7/9/15/16/21    10 -44.55 119.10 25.66   0.00
2/7/15/16/21/27/33  10 -44.55 119.10 25.66   0.00
2/15/16/18/21/29/32 11 -42.27 119.10 25.66   0.00
2/8/10/16/21/23/25  10 -44.55 119.10 25.66   0.00
2/3/6/11/16/18/21   10 -44.55 119.10 25.66   0.00
2/9/16/17/18/21/30  10 -44.55 119.10 25.66   0.00
2/16/18/21/22/28/32 11 -42.27 119.10 25.66   0.00
2/7/8/9/16/21/30    10 -44.55 119.10 25.66   0.00
2/9/10/16/21/24      9 -46.64 119.11 25.66   0.00
2/3/11/12/16/19/21  10 -44.55 119.11 25.67   0.00
2/11/12/16/18/21/26 11 -42.27 119.11 25.67   0.00
2/6/8/9/16/21/27    10 -44.55 119.11 25.67   0.00
2/4/8/16/21/28/29   10 -44.55 119.11 25.67   0.00
2/16/17/18/20/21/22 10 -44.55 119.11 25.67   0.00
2/6/11/15/16/17/21  10 -44.55 119.11 25.67   0.00
2/11/16/21/23/25/33 10 -44.55 119.11 25.67   0.00
2/9/16/18/21/26/30  11 -42.27 119.11 25.67   0.00
2/4/16/17/18/21/32  11 -42.27 119.11 25.67   0.00
2/6/10/12/16/21/28  10 -44.56 119.11 25.67   0.00
2/11/16/18/21/26/30 11 -42.27 119.11 25.67   0.00
2/11/12/16/21/23/32 11 -42.27 119.12 25.67   0.00
2/3/11/16/21/23      9 -46.65 119.12 25.67   0.00
2/14/15/16/21/29    10 -44.56 119.12 25.68   0.00
1/2/15/16/21/23/32  11 -42.27 119.12 25.68   0.00
2/15/16/17/21/23/28 10 -44.56 119.12 25.68   0.00
2/12/16/17/18/21/22 10 -44.56 119.12 25.68   0.00
1/2/16/18/21/22/29  10 -44.56 119.12 25.68   0.00
2/4/10/13/16/21     10 -44.56 119.12 25.68   0.00
2/8/11/15/16/21/24  10 -44.56 119.12 25.68   0.00
2/6/7/14/16/21/28   11 -42.27 119.12 25.68   0.00
2/6/15/16/17/21/26  11 -42.27 119.12 25.68   0.00
2/5/8/16/21/22       9 -46.65 119.12 25.68   0.00
2/8/16/17/21/27      9 -46.65 119.12 25.68   0.00
2/3/7/16/21/27       9 -46.65 119.12 25.68   0.00
2/4/10/16/21/26     10 -44.56 119.12 25.68   0.00
2/11/16/21/23/25/29 10 -44.56 119.12 25.68   0.00
2/8/14/16/21/25     10 -44.56 119.12 25.68   0.00
2/8/16/17/21/25      9 -46.65 119.12 25.68   0.00
2/7/12/16/20/21/30  10 -44.56 119.12 25.68   0.00
2/16/21/25/28/30/33 10 -44.56 119.12 25.68   0.00
2/7/15/16/17/21/28  10 -44.56 119.12 25.68   0.00
2/11/16/21/23/29/30 10 -44.56 119.13 25.68   0.00
1/2/4/16/21/25/27   10 -44.56 119.13 25.68   0.00
2/6/7/13/16/21/28   11 -42.28 119.13 25.69   0.00
2/3/15/16/18/21/28  10 -44.56 119.13 25.69   0.00
2/8/16/21/28/30/32  11 -42.28 119.13 25.69   0.00
1/2/4/16/20/21/25   10 -44.56 119.13 25.69   0.00
2/7/14/16/18/21/27  11 -42.28 119.13 25.69   0.00
2/4/10/16/21/23/29  10 -44.56 119.13 25.69   0.00
2/15/16/20/21/22/26 11 -42.28 119.13 25.69   0.00
2/15/16/17/21/27/28 10 -44.57 119.13 25.69   0.00
2/7/11/16/21/26/27  11 -42.28 119.13 25.69   0.00
2/4/6/16/21/22/33   10 -44.57 119.13 25.69   0.00
2/5/16/21/25/30      9 -46.65 119.13 25.69   0.00
2/7/13/16/21/32     11 -42.28 119.13 25.69   0.00
2/4/8/9/16/20/21    10 -44.57 119.13 25.69   0.00
2/4/7/9/10/16/21    10 -44.57 119.14 25.69   0.00
2/8/16/21/23/24/25  10 -44.57 119.14 25.69   0.00
2/16/21/22/23/25/27 10 -44.57 119.14 25.69   0.00
2/15/16/21/22/23/32 11 -42.28 119.14 25.69   0.00
2/4/9/11/12/16/21   10 -44.57 119.14 25.70   0.00
2/8/13/16/21/25/28  11 -42.28 119.14 25.70   0.00
2/8/9/16/18/21/26   11 -42.28 119.14 25.70   0.00
1/2/15/16/21/30/33  10 -44.57 119.14 25.70   0.00
2/4/13/16/18/21/22  11 -42.28 119.14 25.70   0.00
2/15/16/19/21/31/33 12 -39.77 119.14 25.70   0.00
2/15/16/17/20/21/25 10 -44.57 119.14 25.70   0.00
2/7/10/16/21/25/28  10 -44.57 119.14 25.70   0.00
2/9/16/21/23/25/33  10 -44.57 119.14 25.70   0.00
2/11/13/16/21/33    10 -44.57 119.14 25.70   0.00
2/7/12/16/18/21/26  11 -42.29 119.14 25.70   0.00
1/2/16/18/21/30/33  10 -44.57 119.14 25.70   0.00
2/4/16/21/22/23/24  10 -44.57 119.14 25.70   0.00
2/15/16/21/23/27/32 11 -42.29 119.15 25.70   0.00
2/7/16/21/28/29/30  10 -44.57 119.15 25.70   0.00
2/4/12/16/17/21/32  11 -42.29 119.15 25.70   0.00
2/10/15/16/21/27/30 10 -44.57 119.15 25.70   0.00
2/4/5/6/16/21/22    10 -44.57 119.15 25.70   0.00
2/4/8/11/16/21/29   10 -44.57 119.15 25.71   0.00
2/10/16/18/21/25/26 11 -42.29 119.15 25.71   0.00
